"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Dic 2019","85.140,0","82.000,0","89.940,0","82.000,0","105,77K","-1,57%"
"Nov 2019","86.500,0","86.120,0","90.000,0","80.000,0","217,73K","-0,60%"
"Oct 2019","87.020,0","80.400,0","89.480,0","78.500,0","369,91K","8,23%"
"Sep 2019","80.400,0","71.040,0","80.480,0","70.660,0","366,99K","13,24%"
"Ago 2019","71.000,0","71.500,0","72.960,0","68.280,0","144,93K","-0,70%"
"Jul 2019","71.500,0","67.340,0","74.900,0","67.300,0","268,19K","6,37%"
"Jun 2019","67.220,0","66.000,0","68.500,0","64.020,0","149,27K","1,85%"
"May 2019","66.000,0","68.720,0","69.000,0","65.500,0","126,41K","-4,18%"
"Abr 2019","68.880,0","66.500,0","69.940,0","65.500,0","292,00K","4,36%"
"Mar 2019","66.000,0","63.200,0","70.000,0","63.200,0","224,55K","4,56%"
"Feb 2019","63.120,0","59.800,0","64.300,0","59.800,0","225,48K","5,55%"
"Ene 2019","59.800,0","58.000,0","59.800,0","54.020,0","278,66K","7,17%"
"Dic 2018","55.800,0","59.700,0","59.780,0","54.000,0","154,98K","-6,06%"
"Nov 2018","59.400,0","64.020,0","66.500,0","58.060,0","353,68K","-7,22%"
"Oct 2018","64.020,0","66.600,0","67.980,0","64.020,0","185,48K","-3,76%"
"Sep 2018","66.520,0","68.600,0","69.000,0","66.000,0","160,65K","-3,59%"
"Ago 2018","69.000,0","69.200,0","69.200,0","68.300,0","156,71K","0,73%"
"Jul 2018","68.500,0","68.400,0","69.980,0","68.200,0","140,84K","0,59%"
"Jun 2018","68.100,0","70.000,0","71.000,0","67.460,0","401,49K","-2,69%"
"May 2018","69.980,0","69.920,0","70.000,0","68.640,0","226,58K","0,69%"
"Abr 2018","69.500,0","67.000,0","69.780,0","67.000,0","265,53K","2,33%"
"Mar 2018","67.920,0","66.020,0","68.000,0","66.020,0","117,62K","2,88%"
"Feb 2018","66.020,0","66.700,0","67.500,0","65.180,0","141,58K","-1,02%"
"Ene 2018","66.700,0","67.000,0","68.140,0","65.920,0","178,27K","-1,13%"
"Dic 2017","67.460,0","67.220,0","68.500,0","65.720,0","426,63K","0,45%"
"Nov 2017","67.160,0","64.260,0","68.000,0","64.260,0","141,08K","4,61%"
"Oct 2017","64.200,0","68.980,0","69.000,0","64.200,0","481,08K","-6,93%"
"Sep 2017","68.980,0","68.980,0","71.400,0","68.000,0","385,77K","0,00%"
"Ago 2017","68.980,0","68.100,0","68.980,0","66.300,0","360,68K","1,29%"
"Jul 2017","68.100,0","62.200,0","68.100,0","62.200,0","431,92K","8,13%"
"Jun 2017","62.980,0","62.200,0","63.480,0","61.500,0","173,70K","0,96%"
"May 2017","62.380,0","60.300,0","63.000,0","60.000,0","236,50K","3,45%"
"Abr 2017","60.300,0","59.680,0","60.920,0","59.500,0","321,55K","1,34%"
"Mar 2017","59.500,0","57.980,0","59.700,0","57.040,0","219,94K","2,59%"
"Feb 2017","58.000,0","61.100,0","61.100,0","55.500,0","360,55K","-3,11%"
"Ene 2017","59.860,0","60.340,0","63.000,0","59.620,0","215,50K","-0,56%"
"Dic 2016","60.200,0","59.580,0","62.400,0","59.520,0","133,64K","-2,30%"
"Nov 2016","61.620,0","60.500,0","61.620,0","59.120,0","251,74K","-0,74%"
"Oct 2016","62.080,0","59.420,0","63.100,0","59.420,0","209,65K","-0,83%"
"Sep 2016","62.600,0","61.480,0","64.500,0","61.000,0","270,76K","3,44%"
"Ago 2016","60.520,0","58.300,0","61.120,0","58.000,0","261,88K","3,81%"
"Jul 2016","58.300,0","58.980,0","59.500,0","57.980,0","164,25K","-0,34%"
"Jun 2016","58.500,0","59.000,0","59.600,0","58.220,0","282,38K","-0,68%"
"May 2016","58.900,0","61.020,0","65.020,0","58.500,0","821,20K","-6,48%"
"Abr 2016","62.980,0","60.900,0","63.900,0","59.500,0","226,68K","3,42%"
"Mar 2016","60.900,0","57.500,0","61.500,0","56.800,0","255,26K","7,22%"
"Feb 2016","56.800,0","55.800,0","57.500,0","55.800,0","274,71K","1,79%"
"Ene 2016","55.800,0","59.000,0","59.000,0","55.500,0","87,37K","-6,22%"
"Dic 2015","59.500,0","57.500,0","59.500,0","56.600,0","78,12K","2,59%"
"Nov 2015","58.000,0","59.000,0","60.300,0","55.100,0","110,19K","-1,69%"
"Oct 2015","59.000,0","58.100,0","60.000,0","57.500,0","229,30K","0,00%"
"Sep 2015","59.000,0","57.800,0","59.400,0","56.640,0","219,77K","1,72%"
"Ago 2015","58.000,0","59.920,0","60.760,0","53.240,0","225,19K","-3,37%"
"Jul 2015","60.020,0","60.000,0","61.000,0","59.020,0","202,23K","0,03%"
"Jun 2015","60.000,0","62.300,0","63.000,0","58.000,0","314,78K","-3,69%"
"May 2015","62.300,0","63.000,0","64.900,0","62.060,0","568,57K","-0,92%"
"Abr 2015","62.880,0","55.980,0","63.780,0","55.300,0","282,94K","13,91%"
"Mar 2015","55.200,0","61.880,0","61.880,0","55.000,0","673,34K","-10,80%"
"Feb 2015","61.880,0","63.500,0","64.980,0","61.000,0","258,80K","-0,39%"
"Ene 2015","62.120,0","64.300,0","65.920,0","62.120,0","294,42K","-6,02%"
"Dic 2014","66.100,0","67.000,0","69.000,0","62.880,0","489,38K","-1,34%"
