"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Dic 2019","45.800,0","42.800,0","47.000,0","42.240,0","7,76M","5,68%"
"Nov 2019","43.340,0","43.560,0","46.380,0","42.080,0","9,39M","-1,77%"
"Oct 2019","44.120,0","43.200,0","44.420,0","41.900,0","8,67M","2,60%"
"Sep 2019","43.000,0","42.520,0","44.400,0","41.080,0","8,88M","0,61%"
"Ago 2019","42.740,0","40.560,0","44.200,0","40.080,0","11,92M","3,59%"
"Jul 2019","41.260,0","40.880,0","42.280,0","40.280,0","8,71M","1,13%"
"Jun 2019","40.800,0","38.940,0","41.260,0","38.940,0","11,66M","3,29%"
"May 2019","39.500,0","40.800,0","41.100,0","37.540,0","11,36M","-3,42%"
"Abr 2019","40.900,0","40.200,0","43.160,0","39.360,0","9,85M","1,24%"
"Mar 2019","40.400,0","37.120,0","42.120,0","36.700,0","11,86M","8,84%"
"Feb 2019","37.120,0","34.420,0","37.520,0","34.420,0","14,03M","8,03%"
"Ene 2019","34.360,0","31.480,0","34.800,0","31.220,0","13,27M","9,43%"
"Dic 2018","31.400,0","32.900,0","33.760,0","29.800,0","7,09M","-2,55%"
"Nov 2018","32.220,0","30.600,0","34.000,0","30.100,0","9,22M","7,04%"
"Oct 2018","30.100,0","31.220,0","32.420,0","28.760,0","11,03M","-3,83%"
"Sep 2018","31.300,0","32.980,0","33.320,0","30.260,0","10,64M","-5,72%"
"Ago 2018","33.200,0","33.220,0","34.060,0","32.700,0","13,54M","0,00%"
"Jul 2018","33.200,0","35.240,0","36.680,0","33.140,0","7,64M","-7,05%"
"Jun 2018","35.720,0","33.500,0","35.720,0","32.740,0","12,35M","6,63%"
"May 2018","33.500,0","33.500,0","34.620,0","32.260,0","22,23M","0,60%"
"Abr 2018","33.300,0","29.280,0","34.600,0","29.080,0","14,30M","13,73%"
"Mar 2018","29.280,0","30.040,0","31.700,0","29.060,0","11,54M","-2,98%"
"Feb 2018","30.180,0","32.020,0","33.640,0","30.180,0","16,18M","-7,02%"
"Ene 2018","32.460,0","30.000,0","32.900,0","29.480,0","12,26M","8,49%"
"Dic 2017","29.920,0","29.180,0","30.140,0","28.580,0","13,59M","2,47%"
"Nov 2017","29.200,0","29.000,0","29.700,0","28.020,0","18,82M","0,69%"
"Oct 2017","29.000,0","33.920,0","34.200,0","28.540,0","19,95M","-14,15%"
"Sep 2017","33.780,0","33.700,0","35.600,0","33.280,0","13,67M","0,54%"
"Ago 2017","33.600,0","32.960,0","33.600,0","31.560,0","15,47M","2,75%"
"Jul 2017","32.700,0","33.980,0","34.900,0","32.540,0","7,70M","-3,54%"
"Jun 2017","33.900,0","32.100,0","35.000,0","31.840,0","9,47M","5,08%"
"May 2017","32.260,0","29.200,0","33.040,0","28.960,0","16,96M","12,33%"
"Abr 2017","28.720,0","29.000,0","29.500,0","27.920,0","10,24M","0,07%"
"Mar 2017","28.700,0","27.580,0","29.180,0","27.100,0","12,59M","5,13%"
"Feb 2017","27.300,0","27.560,0","27.900,0","26.800,0","8,08M","-0,94%"
"Ene 2017","27.560,0","26.700,0","28.400,0","26.700,0","14,66M","1,40%"
"Dic 2016","27.180,0","26.000,0","28.100,0","26.000,0","13,70M","4,54%"
"Nov 2016","26.000,0","28.880,0","29.380,0","25.420,0","19,55M","-8,90%"
"Oct 2016","28.540,0","27.500,0","28.960,0","27.080,0","12,42M","2,15%"
"Sep 2016","27.940,0","29.200,0","30.200,0","27.060,0","15,92M","-3,99%"
"Ago 2016","29.100,0","25.900,0","29.160,0","25.820,0","29,38M","10,65%"
"Jul 2016","26.300,0","25.360,0","26.300,0","25.200,0","7,52M","3,22%"
"Jun 2016","25.480,0","25.200,0","26.260,0","24.900,0","11,95M","0,79%"
"May 2016","25.280,0","27.500,0","27.500,0","25.220,0","14,34M","-6,65%"
"Abr 2016","27.080,0","25.600,0","28.700,0","25.520,0","17,08M","4,64%"
"Mar 2016","25.880,0","24.740,0","26.980,0","24.500,0","20,48M","4,61%"
"Feb 2016","24.740,0","23.680,0","25.200,0","23.600,0","15,67M","3,17%"
"Ene 2016","23.980,0","21.520,0","24.000,0","20.460,0","12,30M","11,02%"
"Dic 2015","21.600,0","22.480,0","23.000,0","20.080,0","11,40M","-3,57%"
"Nov 2015","22.400,0","25.100,0","25.480,0","21.880,0","19,82M","-10,83%"
"Oct 2015","25.120,0","25.000,0","28.100,0","24.420,0","17,01M","0,64%"
"Sep 2015","24.960,0","25.800,0","26.600,0","23.620,0","13,50M","-5,38%"
"Ago 2015","26.380,0","27.540,0","28.060,0","23.340,0","12,52M","-4,63%"
"Jul 2015","27.660,0","28.020,0","28.400,0","26.540,0","9,35M","-0,86%"
"Jun 2015","27.900,0","25.900,0","28.100,0","25.400,0","9,36M","7,72%"
"May 2015","25.900,0","26.900,0","28.140,0","25.640,0","10,17M","-0,61%"
"Abr 2015","26.060,0","25.560,0","27.800,0","25.560,0","12,42M","2,60%"
"Mar 2015","25.400,0","25.700,0","26.220,0","23.740,0","15,57M","-1,55%"
"Feb 2015","25.800,0","28.800,0","28.880,0","25.760,0","12,34M","-10,66%"
"Ene 2015","28.880,0","28.380,0","28.880,0","26.680,0","16,15M","0,84%"
"Dic 2014","28.640,0","28.540,0","29.600,0","26.020,0","11,13M","0,00%"
"Nov 2014","28.640,0","28.600,0","30.400,0","28.480,0","12,04M","-0,97%"
"Oct 2014","28.920,0","28.880,0","29.700,0","27.840,0","14,38M","0,91%"
"Sep 2014","28.660,0","30.300,0","31.080,0","28.400,0","12,65M","-5,72%"
"Ago 2014","30.400,0","28.720,0","31.300,0","28.720,0","10,94M","4,83%"
"Jul 2014","29.000,0","27.500,0","30.020,0","27.100,0","14,41M","5,45%"
"Jun 2014","27.500,0","26.800,0","28.100,0","26.520,0","11,87M","3,70%"
"May 2014","26.520,0","27.400,0","27.640,0","25.540,0","16,26M","-3,21%"
"Abr 2014","27.400,0","27.440,0","27.800,0","26.140,0","24,60M","-0,15%"
"Mar 2014","27.440,0","24.220,0","27.440,0","24.220,0","33,52M","7,78%"
"Feb 2014","25.460,0","22.120,0","25.800,0","22.000,0","19,97M","14,58%"
"Ene 2014","22.220,0","23.400,0","24.220,0","22.000,0","5,10M","-5,20%"
"Dic 2013","23.440,0","24.460,0","25.000,0","23.380,0","7,32M","-5,33%"
"Nov 2013","24.760,0","26.700,0","26.840,0","24.000,0","8,54M","-6,57%"
"Oct 2013","26.500,0","27.320,0","27.580,0","26.440,0","10,49M","-3,36%"
"Sep 2013","27.420,0","26.900,0","27.760,0","26.540,0","12,71M","2,01%"
"Ago 2013","26.880,0","27.560,0","28.360,0","26.840,0","9,09M","-1,18%"
"Jul 2013","27.200,0","26.680,0","27.800,0","25.100,0","14,09M","0,74%"
"Jun 2013","27.000,0","28.300,0","28.360,0","26.000,0","8,32M","-3,57%"
"May 2013","28.000,0","30.800,0","31.200,0","27.920,0","11,15M","-6,35%"
"Abr 2013","29.900,0","28.800,0","30.960,0","28.380,0","6,87M","3,10%"
"Mar 2013","29.000,0","29.320,0","29.560,0","28.300,0","5,06M","-2,68%"
"Feb 2013","29.800,0","31.000,0","31.460,0","29.400,0","7,75M","-4,43%"
"Ene 2013","31.180,0","29.620,0","31.200,0","29.580,0","5,65M","4,56%"
"Dic 2012","29.820,0","28.760,0","29.980,0","28.760,0","8,41M","3,90%"
"Nov 2012","28.700,0","29.200,0","29.300,0","27.620,0","8,44M","-1,78%"
"Oct 2012","29.220,0","27.000,0","29.240,0","26.640,0","16,54M","9,60%"
"Sep 2012","26.660,0","26.660,0","27.600,0","25.740,0","11,40M","1,29%"
"Ago 2012","26.320,0","27.780,0","27.780,0","24.220,0","26,55M","-5,53%"
"Jul 2012","27.860,0","27.900,0","28.660,0","27.060,0","10,14M","0,22%"
"Jun 2012","27.800,0","27.100,0","28.000,0","26.520,0","11,59M","1,09%"
"May 2012","27.500,0","29.900,0","30.600,0","27.000,0","13,95M","-8,03%"
"Abr 2012","29.900,0","28.780,0","29.900,0","28.700,0","8,42M","4,55%"
"Mar 2012","28.600,0","28.500,0","29.040,0","27.740,0","13,47M","0,35%"
"Feb 2012","28.500,0","27.580,0","28.760,0","27.080,0","27,29M","1,93%"
"Ene 2012","27.960,0","27.899,8","28.697,0","26.100,0","14,41M","1,59%"
"Dic 2011","27.521,2","27.899,8","29.713,3","27.302,0","34,66M","-1,36%"
"Nov 2011","27.899,8","28.099,1","29.374,5","26.425,1","8,20M","-4,76%"
"Oct 2011","29.294,8","27.003,0","29.892,7","26.405,2","8,88M","9,29%"
"Sep 2011","26.803,8","29.195,2","29.773,1","26.325,5","11,27M","-7,88%"
"Ago 2011","29.095,5","29.215,1","29.474,2","25.907,0","12,69M","0,55%"
"Jul 2011","28.936,1","29.494,1","29.673,4","27.700,5","6,82M","-1,56%"
"Jun 2011","29.394,4","29.693,4","29.892,7","28.916,2","7,26M","-1,60%"
"May 2011","29.872,7","28.796,6","29.872,7","27.600,9","8,61M","2,88%"
"Abr 2011","29.035,7","29.195,2","29.992,3","27.401,6","9,23M","0,14%"
"Mar 2011","28.995,9","27.102,7","29.593,7","26.704,1","13,00M","7,38%"
"Feb 2011","27.003,0","27.302,0","27.501,2","25.070,0","12,54M","-0,73%"
"Ene 2011","27.202,3","29.514,0","29.514,0","25.747,5","15,50M","-8,82%"
