"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Dic 2019","7.300,0","6.210,0","7.300,0","6.210,0","19,15M","17,74%"
"Nov 2019","6.200,0","7.500,0","7.530,0","6.040,0","76,71M","-18,74%"
"Oct 2019","7.630,0","7.470,0","7.670,0","7.110,0","15,47M","2,55%"
"Sep 2019","7.440,0","7.630,0","7.720,0","7.340,0","31,58M","-3,13%"
"Ago 2019","7.680,0","7.690,0","7.770,0","7.020,0","16,35M","-0,13%"
"Jul 2019","7.690,0","7.520,0","8.090,0","7.450,0","10,82M","2,53%"
"Jun 2019","7.500,0","7.290,0","7.600,0","7.190,0","8,56M","2,88%"
"May 2019","7.290,0","8.090,0","8.090,0","7.020,0","14,22M","-9,67%"
"Abr 2019","8.070,0","7.900,0","8.160,0","7.880,0","36,00M","2,41%"
"Mar 2019","7.880,0","8.190,0","8.190,0","7.660,0","58,40M","-3,08%"
"Feb 2019","8.130,0","8.080,0","8.400,0","7.770,0","16,68M","0,62%"
"Ene 2019","8.080,0","6.870,0","8.100,0","6.870,0","16,99M","16,09%"
"Dic 2018","6.960,0","7.000,0","7.200,0","6.800,0","7,79M","-0,57%"
"Nov 2018","7.000,0","7.000,0","7.300,0","6.900,0","9,82M","-0,28%"
"Oct 2018","7.020,0","7.760,0","7.760,0","6.900,0","9,82M","-8,83%"
"Sep 2018","7.700,0","8.800,0","9.100,0","7.490,0","14,11M","-14,63%"
"Ago 2018","9.020,0","9.200,0","9.300,0","8.720,0","4,71M","-1,96%"
"Jul 2018","9.200,0","9.850,0","9.850,0","9.120,0","6,62M","-6,12%"
"Jun 2018","9.800,0","9.210,0","9.850,0","9.200,0","10,54M","6,52%"
"May 2018","9.200,0","9.930,0","9.930,0","8.630,0","7,33M","-7,35%"
"Abr 2018","9.930,0","9.850,0","9.980,0","9.640,0","23,84M","2,48%"
"Mar 2018","9.690,0","10.420,0","10.420,0","9.220,0","76,14M","-7,18%"
"Feb 2018","10.440,0","11.300,0","11.780,0","10.280,0","4,48M","-7,61%"
"Ene 2018","11.300,0","11.840,0","11.860,0","11.100,0","3,54M","-1,91%"
"Dic 2017","11.520,0","10.500,0","11.680,0","10.420,0","5,53M","8,68%"
"Nov 2017","10.600,0","11.380,0","11.500,0","10.300,0","7,81M","-4,50%"
"Oct 2017","11.100,0","11.800,0","11.900,0","11.060,0","6,94M","-5,13%"
"Sep 2017","11.700,0","11.840,0","12.040,0","11.620,0","5,54M","-2,17%"
"Ago 2017","11.960,0","11.880,0","11.980,0","11.640,0","4,82M","0,50%"
"Jul 2017","11.900,0","11.900,0","11.980,0","11.540,0","14,44M","0,51%"
"Jun 2017","11.840,0","11.760,0","12.260,0","11.300,0","9,88M","1,02%"
"May 2017","11.720,0","12.000,0","12.620,0","11.720,0","9,21M","-1,51%"
"Abr 2017","11.900,0","11.800,0","12.320,0","11.760,0","7,95M","0,85%"
"Mar 2017","11.800,0","11.700,0","11.980,0","11.440,0","6,27M","0,85%"
"Feb 2017","11.700,0","11.660,0","11.960,0","11.580,0","9,98M","0,34%"
"Ene 2017","11.660,0","11.860,0","12.040,0","11.580,0","5,63M","-1,69%"
"Dic 2016","11.860,0","11.000,0","11.900,0","11.000,0","7,31M","8,41%"
"Nov 2016","10.940,0","11.880,0","11.880,0","10.780,0","8,38M","-8,07%"
"Oct 2016","11.900,0","11.460,0","11.940,0","11.220,0","5,26M","3,66%"
"Sep 2016","11.480,0","11.740,0","12.160,0","11.360,0","8,39M","-2,71%"
"Ago 2016","11.800,0","11.500,0","11.960,0","11.440,0","8,70M","2,61%"
