"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Dic 2019","11.960,0","11.560,0","12.160,0","11.260,0","2,11M","0,84%"
"Nov 2019","11.860,0","12.400,0","12.900,0","11.300,0","2,39M","-8,77%"
"Oct 2019","13.000,0","12.060,0","13.000,0","10.860,0","6,10M","8,15%"
"Sep 2019","12.020,0","12.200,0","12.420,0","11.600,0","1,16M","-0,83%"
"Ago 2019","12.120,0","12.720,0","12.780,0","11.440,0","1,78M","-4,57%"
"Jul 2019","12.700,0","10.700,0","12.700,0","10.620,0","5,43M","17,59%"
"Jun 2019","10.800,0","9.900,0","10.820,0","9.800,0","668,69K","6,30%"
"May 2019","10.160,0","9.520,0","10.260,0","9.520,0","464,78K","6,72%"
"Abr 2019","9.520,0","10.620,0","10.760,0","9.520,0","514,08K","-11,85%"
"Mar 2019","10.800,0","10.500,0","10.840,0","10.240,0","689,15K","4,05%"
"Feb 2019","10.380,0","10.440,0","10.500,0","9.910,0","849,17K","2,77%"
"Ene 2019","10.100,0","10.000,0","10.620,0","9.850,0","2,01M","4,77%"
"Dic 2018","9.640,0","9.900,0","10.160,0","9.150,0","274,45K","-0,72%"
"Nov 2018","9.710,0","8.500,0","10.460,0","8.500,0","977,53K","11,23%"
"Oct 2018","8.730,0","9.450,0","9.450,0","8.620,0","451,61K","-4,80%"
"Sep 2018","9.170,0","9.300,0","9.700,0","9.130,0","632,06K","-5,46%"
"Ago 2018","9.700,0","9.480,0","9.760,0","9.190,0","546,86K","4,41%"
"Jul 2018","9.290,0","9.480,0","9.700,0","9.080,0","510,43K","-3,23%"
"Jun 2018","9.600,0","9.380,0","9.600,0","8.800,0","773,66K","2,35%"
"May 2018","9.380,0","9.480,0","9.560,0","9.100,0","1,10M","2,29%"
"Abr 2018","9.170,0","9.100,0","9.740,0","8.750,0","1,44M","-0,76%"
"Mar 2018","9.240,0","9.460,0","10.100,0","9.000,0","593,56K","-2,53%"
"Feb 2018","9.480,0","9.860,0","10.000,0","9.450,0","825,07K","-3,07%"
"Ene 2018","9.780,0","10.460,0","10.820,0","9.780,0","1,81M","-6,50%"
"Dic 2017","10.460,0","9.700,0","10.500,0","9.670,0","1,36M","7,84%"
"Nov 2017","9.700,0","9.570,0","10.260,0","9.510,0","2,21M","1,36%"
"Oct 2017","9.570,0","9.760,0","9.950,0","9.340,0","1,19M","-2,35%"
"Sep 2017","9.800,0","9.920,0","10.080,0","9.470,0","2,24M","-1,01%"
