"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Dic 2019","45.980,0","43.300,0","45.980,0","42.000,0","2,68M","4,50%"
"Nov 2019","44.000,0","43.200,0","45.300,0","42.640,0","1,45M","1,85%"
"Oct 2019","43.200,0","42.000,0","43.940,0","41.000,0","1,99M","1,65%"
"Sep 2019","42.500,0","41.040,0","42.500,0","40.040,0","2,03M","2,07%"
"Ago 2019","41.640,0","40.600,0","42.920,0","39.000,0","3,74M","1,22%"
"Jul 2019","41.140,0","39.440,0","43.000,0","39.440,0","2,78M","1,63%"
"Jun 2019","40.480,0","37.520,0","41.000,0","37.520,0","1,87M","6,08%"
"May 2019","38.160,0","39.340,0","39.700,0","36.520,0","2,54M","-4,60%"
"Abr 2019","40.000,0","36.700,0","41.500,0","36.700,0","2,48M","6,95%"
"Mar 2019","37.400,0","37.500,0","40.000,0","36.120,0","2,33M","-0,90%"
"Feb 2019","37.740,0","35.300,0","38.000,0","35.120,0","1,89M","5,89%"
"Ene 2019","35.640,0","30.920,0","35.980,0","30.920,0","2,27M","15,27%"
"Dic 2018","30.920,0","32.740,0","34.500,0","29.400,0","1,78M","-4,92%"
"Nov 2018","32.520,0","31.000,0","34.200,0","30.660,0","1,34M","4,90%"
"Oct 2018","31.000,0","34.200,0","34.580,0","30.100,0","1,85M","-9,36%"
"Sep 2018","34.200,0","34.840,0","36.000,0","32.220,0","2,32M","-3,66%"
"Ago 2018","35.500,0","35.520,0","36.280,0","33.260,0","3,41M","-0,56%"
"Jul 2018","35.700,0","36.240,0","38.000,0","35.640,0","3,27M","-3,51%"
"Jun 2018","37.000,0","34.460,0","37.000,0","34.180,0","3,60M","7,37%"
"May 2018","34.460,0","33.800,0","34.800,0","31.860,0","2,67M","2,07%"
"Abr 2018","33.760,0","30.140,0","33.840,0","29.920,0","3,95M","12,08%"
"Mar 2018","30.120,0","29.700,0","30.860,0","29.580,0","2,28M","1,41%"
"Feb 2018","29.700,0","31.880,0","32.100,0","29.700,0","4,24M","-6,84%"
"Ene 2018","31.880,0","29.940,0","32.700,0","29.200,0","3,33M","6,48%"
"Dic 2017","29.940,0","29.700,0","30.300,0","28.760,0","2,62M","3,24%"
"Nov 2017","29.000,0","30.560,0","31.600,0","28.800,0","3,46M","-3,27%"
"Oct 2017","29.980,0","33.080,0","33.280,0","29.080,0","6,51M","-9,86%"
"Sep 2017","33.260,0","32.840,0","33.900,0","32.780,0","3,88M","0,79%"
"Ago 2017","33.000,0","33.460,0","34.020,0","32.520,0","1,74M","-2,65%"
"Jul 2017","33.900,0","32.360,0","34.520,0","32.360,0","1,39M","0,65%"
"Jun 2017","33.680,0","33.020,0","33.680,0","31.680,0","1,20M","2,00%"
"May 2017","33.020,0","30.280,0","33.600,0","30.280,0","2,52M","6,52%"
"Abr 2017","31.000,0","29.940,0","31.280,0","29.920,0","2,91M","3,61%"
"Mar 2017","29.920,0","29.360,0","30.560,0","28.420,0","4,43M","0,74%"
"Feb 2017","29.700,0","31.100,0","31.640,0","29.460,0","3,34M","-5,59%"
"Ene 2017","31.460,0","29.720,0","31.780,0","29.720,0","2,70M","4,87%"
"Dic 2016","30.000,0","28.740,0","30.500,0","28.600,0","4,42M","4,68%"
"Nov 2016","28.660,0","30.600,0","31.220,0","28.500,0","5,25M","-6,34%"
