"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Dic 2019","3.315,0","3.250,0","3.370,0","3.175,0","99,96M","0,76%"
"Nov 2019","3.290,0","3.055,0","3.290,0","3.035,0","125,17M","8,22%"
"Oct 2019","3.040,0","2.985,0","3.090,0","2.870,0","122,78M","3,05%"
"Sep 2019","2.950,0","2.715,0","3.050,0","2.655,0","200,62M","7,66%"
"Ago 2019","2.740,0","2.970,0","2.985,0","2.615,0","184,22M","-6,80%"
"Jul 2019","2.940,0","2.920,0","3.110,0","2.895,0","167,57M","0,68%"
"Jun 2019","2.920,0","2.785,0","3.030,0","2.725,0","133,09M","5,61%"
"May 2019","2.765,0","2.975,0","3.120,0","2.740,0","200,10M","-7,37%"
"Abr 2019","2.985,0","3.460,0","3.465,0","2.965,0","173,88M","-12,59%"
"Mar 2019","3.415,0","3.100,0","3.570,0","3.080,0","181,83M","9,46%"
"Feb 2019","3.120,0","2.920,0","3.280,0","2.825,0","188,94M","6,85%"
"Ene 2019","2.920,0","2.620,0","2.970,0","2.540,0","175,55M","10,40%"
"Dic 2018","2.645,0","3.160,0","3.300,0","2.520,0","133,53M","-14,81%"
"Nov 2018","3.105,0","3.700,0","3.740,0","2.990,0","218,81M","-16,98%"
"Oct 2018","3.740,0","4.040,0","4.190,0","3.635,0","272,90M","-7,20%"
"Sep 2018","4.030,0","3.400,0","4.030,0","3.350,0","287,92M","17,84%"
"Ago 2018","3.420,0","3.055,0","3.455,0","2.985,0","193,34M","11,40%"
"Jul 2018","3.070,0","3.025,0","3.095,0","2.850,0","161,86M","1,49%"
"Jun 2018","3.025,0","3.080,0","3.125,0","2.800,0","211,31M","-2,10%"
"May 2018","3.090,0","3.060,0","3.315,0","2.855,0","354,93M","-0,32%"
"Abr 2018","3.100,0","2.645,0","3.145,0","2.645,0","387,33M","18,55%"
"Mar 2018","2.615,0","2.500,0","2.810,0","2.415,0","315,66M","4,18%"
"Feb 2018","2.510,0","2.655,0","2.770,0","2.315,0","434,33M","-5,64%"
"Ene 2018","2.660,0","2.200,0","2.860,0","2.175,0","472,22M","20,36%"
"Dic 2017","2.210,0","1.755,0","2.210,0","1.755,0","191,93M","26,29%"
"Nov 2017","1.750,0","1.690,0","1.850,0","1.675,0","312,53M","5,11%"
"Oct 2017","1.665,0","1.395,0","1.690,0","1.380,0","333,29M","18,93%"
"Sep 2017","1.400,0","1.360,0","1.420,0","1.345,0","208,64M","2,19%"
"Ago 2017","1.370,0","1.385,0","1.400,0","1.340,0","173,48M","-1,79%"
"Jul 2017","1.395,0","1.390,0","1.405,0","1.345,0","144,55M","1,09%"
"Jun 2017","1.380,0","1.335,0","1.400,0","1.320,0","229,34M","3,37%"
"May 2017","1.335,0","1.350,0","1.485,0","1.310,0","395,79M","-1,84%"
"Abr 2017","1.360,0","1.345,0","1.400,0","1.330,0","244,46M","0,74%"
"Mar 2017","1.350,0","1.325,0","1.350,0","1.275,0","204,22M","2,27%"
"Feb 2017","1.320,0","1.375,0","1.395,0","1.305,0","238,15M","-4,00%"
"Ene 2017","1.375,0","1.370,0","1.425,0","1.360,0","187,92M","-0,36%"
"Dic 2016","1.380,0","1.330,0","1.400,0","1.300,0","172,59M","4,55%"
"Nov 2016","1.320,0","1.325,0","1.335,0","1.230,0","203,59M","0,76%"
"Oct 2016","1.310,0","1.250,0","1.385,0","1.200,0","209,44M","4,80%"
"Sep 2016","1.250,0","1.310,0","1.400,0","1.160,0","288,05M","-5,30%"
"Ago 2016","1.320,0","1.280,0","1.340,0","1.200,0","199,27M","1,54%"
"Jul 2016","1.300,0","1.385,0","1.415,0","1.285,0","168,13M","-6,81%"
"Jun 2016","1.395,0","1.335,0","1.465,0","1.320,0","219,49M","4,10%"
"May 2016","1.340,0","1.410,0","1.470,0","1.330,0","268,96M","-5,30%"
"Abr 2016","1.415,0","1.280,0","1.485,0","1.220,0","396,12M","8,02%"
"Mar 2016","1.310,0","1.155,0","1.435,0","1.145,0","434,08M","14,91%"
"Feb 2016","1.140,0","1.000,0","1.195,0","975,0","431,02M","10,68%"
"Ene 2016","1.030,0","1.120,0","1.140,0","880,0","213,16M","-7,21%"
"Dic 2015","1.110,0","1.310,0","1.320,0","1.080,0","129,64M","-14,94%"
"Nov 2015","1.305,0","1.385,0","1.425,0","1.290,0","199,02M","-3,33%"
"Oct 2015","1.350,0","1.335,0","1.535,0","1.305,0","199,68M","1,50%"
"Sep 2015","1.330,0","1.550,0","1.565,0","1.285,0","180,13M","-16,61%"
"Ago 2015","1.595,0","1.605,0","1.605,0","1.395,0","202,05M","-0,93%"
"Jul 2015","1.610,0","1.715,0","1.725,0","1.545,0","217,22M","-6,94%"
"Jun 2015","1.730,0","1.825,0","1.870,0","1.625,0","202,89M","-4,68%"
"May 2015","1.815,0","2.030,0","2.105,0","1.800,0","185,76M","-10,59%"
"Abr 2015","2.030,0","1.980,0","2.110,0","1.975,0","194,65M","2,78%"
