"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Dic 2019","259,0","250,0","260,0","235,0","23,25M","7,47%"
"Nov 2019","241,0","250,0","280,0","227,0","79,63M","0,42%"
"Oct 2019","240,0","225,0","284,0","225,0","35,43M","4,80%"
"Sep 2019","229,0","242,0","243,0","212,0","4,29M","-2,14%"
"Ago 2019","234,0","243,0","250,0","233,0","3,45M","-3,31%"
"Jul 2019","242,0","246,0","257,0","242,0","8,28M","-3,20%"
"Jun 2019","250,0","238,0","267,0","231,0","7,25M","6,84%"
"May 2019","234,0","254,0","254,0","224,0","8,72M","-7,87%"
"Abr 2019","254,0","287,0","288,0","254,0","5,55M","-11,19%"
"Mar 2019","286,0","217,0","300,0","194,0","30,50M","32,41%"
"Feb 2019","216,0","252,0","253,0","216,0","15,75M","-12,90%"
"Ene 2019","248,0","257,0","257,0","237,0","6,25M","-1,20%"
"Dic 2018","251,0","279,0","291,0","250,0","11,64M","-11,62%"
"Nov 2018","284,0","258,0","288,0","255,0","9,74M","12,25%"
"Oct 2018","253,0","326,0","332,0","236,0","126,80M","-24,25%"
"Sep 2018","334,0","363,0","363,0","326,0","3,66M","-1,76%"
"Ago 2018","340,0","363,0","380,0","332,0","6,17M","-12,14%"
"Jul 2018","387,0","384,0","387,0","358,0","16,78M","-0,26%"
"Jun 2018","388,0","397,0","397,0","376,0","4,07M","-3,00%"
"May 2018","400,0","411,0","415,0","375,0","10,26M","-3,15%"
"Abr 2018","413,0","396,0","416,0","380,0","10,56M","3,25%"
"Mar 2018","400,0","427,0","428,0","400,0","2,53M","-7,19%"
"Feb 2018","431,0","473,0","477,0","425,0","4,30M","-8,88%"
"Ene 2018","473,0","451,0","498,0","438,0","5,93M","3,50%"
"Dic 2017","457,0","498,0","516,0","446,0","7,31M","-10,22%"
"Nov 2017","509,0","495,0","513,0","490,0","2,74M","2,83%"
"Oct 2017","495,0","515,0","518,0","487,0","7,47M","-3,88%"
"Sep 2017","515,0","556,0","559,0","500,0","15,22M","-6,53%"
"Ago 2017","551,0","585,0","585,0","530,0","4,76M","-5,81%"
"Jul 2017","585,0","613,0","620,0","552,0","11,16M","-5,34%"
"Jun 2017","618,0","620,0","626,0","605,0","10,29M","-0,32%"
"May 2017","620,0","641,0","643,0","600,0","15,42M","-3,13%"
"Abr 2017","640,0","632,0","662,0","630,0","6,16M","0,16%"
"Mar 2017","639,0","640,0","653,0","625,0","14,34M","-0,16%"
"Feb 2017","640,0","637,0","656,0","612,0","18,87M","0,31%"
"Ene 2017","638,0","594,0","657,0","594,0","15,57M","6,33%"
"Dic 2016","600,0","558,0","610,0","557,0","19,94M","7,14%"
"Nov 2016","560,0","589,0","592,0","560,0","17,13M","-4,92%"
"Oct 2016","589,0","585,0","598,0","576,0","7,23M","0,51%"
"Sep 2016","586,0","601,0","610,0","584,0","10,83M","-2,33%"
"Ago 2016","600,0","595,0","617,0","595,0","6,22M","0,00%"
"Jul 2016","600,0","582,0","605,0","573,0","9,18M","2,21%"
"Jun 2016","587,0","597,0","604,0","580,0","7,60M","-1,01%"
"May 2016","593,0","608,0","618,0","580,0","27,66M","-2,79%"
"Abr 2016","610,0","596,0","617,0","590,0","28,68M","2,52%"
"Mar 2016","595,0","577,0","608,0","531,0","40,11M","2,76%"
"Feb 2016","579,0","545,0","586,0","529,0","46,12M","6,24%"
"Ene 2016","545,0","514,0","558,0","512,0","28,99M","5,01%"
"Dic 2015","519,0","500,0","527,0","480,0","57,81M","1,76%"
