"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Dic 2019","2.220,00","2.195,00","2.320,00","2.170,00","29,25M","1,14%"
"Nov 2019","2.195,00","2.180,00","2.200,00","2.160,00","32,30M","0,92%"
"Oct 2019","2.175,00","2.190,00","2.235,00","2.145,00","50,12M","-0,46%"
"Sep 2019","2.185,00","2.120,00","2.215,00","2.120,00","43,98M","3,31%"
"Ago 2019","2.115,00","2.095,00","2.150,00","2.060,00","22,89M","0,71%"
"Jul 2019","2.100,00","2.110,00","2.145,00","2.075,00","37,39M","-0,47%"
"Jun 2019","2.110,00","2.125,00","2.190,00","2.100,00","31,39M","-0,47%"
"May 2019","2.120,00","2.215,00","2.225,00","2.100,00","39,30M","-4,93%"
"Abr 2019","2.230,00","2.085,00","2.230,00","2.050,00","41,82M","7,47%"
"Mar 2019","2.075,00","2.040,00","2.210,00","2.025,00","92,88M","1,72%"
"Feb 2019","2.040,00","1.920,00","2.040,00","1.890,00","33,97M","6,81%"
"Ene 2019","1.910,00","1.765,00","1.940,00","1.750,00","48,12M","7,91%"
"Dic 2018","1.770,00","1.845,00","1.855,00","1.700,00","18,58M","-4,07%"
"Nov 2018","1.845,00","1.875,00","1.930,00","1.710,00","23,52M","-0,54%"
"Oct 2018","1.855,00","2.005,00","2.060,00","1.855,00","75,71M","-7,48%"
"Sep 2018","2.005,00","2.045,00","2.065,00","1.995,00","27,08M","-1,96%"
"Ago 2018","2.045,00","2.010,00","2.070,00","2.005,00","34,95M","1,74%"
"Jul 2018","2.010,00","2.040,00","2.050,00","2.000,00","26,59M","-1,47%"
"Jun 2018","2.040,00","2.080,00","2.100,00","2.025,00","35,94M","-1,45%"
"May 2018","2.070,00","2.065,00","2.090,00","2.040,00","34,82M","0,49%"
"Abr 2018","2.060,00","2.025,00","2.060,00","2.020,00","28,48M","1,48%"
"Mar 2018","2.030,00","2.025,00","2.050,00","2.005,00","22,98M","0,00%"
"Feb 2018","2.030,00","2.040,00","2.065,00","2.020,00","35,47M","0,00%"
"Ene 2018","2.030,00","2.020,00","2.070,00","2.005,00","20,36M","0,74%"
"Dic 2017","2.015,00","2.075,00","2.100,00","1.995,00","17,26M","-2,66%"
"Nov 2017","2.070,00","2.010,00","2.100,00","2.000,00","23,11M","3,76%"
"Oct 2017","1.995,00","2.000,00","2.040,00","1.985,00","44,46M","-0,25%"
"Sep 2017","2.000,00","1.955,00","2.000,00","1.950,00","37,64M","2,56%"
"Ago 2017","1.950,00","1.975,00","1.995,00","1.950,00","9,20M","-1,52%"
