"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Dic 2019","13.880,0","14.000,0","14.680,0","13.000,0","681,93K","-0,86%"
"Nov 2019","14.000,0","17.900,0","17.980,0","14.000,0","7,47M","-21,79%"
"Oct 2019","17.900,0","17.800,0","17.920,0","17.800,0","26,08M","1,59%"
"Sep 2019","17.620,0","17.540,0","17.640,0","17.400,0","3,98M","0,23%"
"Ago 2019","17.580,0","17.400,0","17.600,0","17.100,0","10,96M","1,03%"
"Jul 2019","17.400,0","16.600,0","17.700,0","16.500,0","12,05M","4,32%"
"Jun 2019","16.680,0","14.100,0","16.800,0","13.760,0","13,66M","18,30%"
"May 2019","14.100,0","14.480,0","14.680,0","13.500,0","6,73M","-2,76%"
"Abr 2019","14.500,0","14.600,0","14.900,0","13.760,0","5,80M","-0,14%"
"Mar 2019","14.520,0","14.760,0","15.380,0","13.880,0","8,89M","-0,55%"
"Feb 2019","14.600,0","14.120,0","14.920,0","13.900,0","5,78M","3,55%"
"Ene 2019","14.100,0","12.420,0","14.160,0","12.000,0","6,55M","13,71%"
"Dic 2018","12.400,0","13.460,0","13.460,0","11.920,0","9,70M","-6,91%"
"Nov 2018","13.320,0","13.880,0","14.740,0","12.240,0","7,73M","-4,17%"
"Oct 2018","13.900,0","14.820,0","14.940,0","13.380,0","5,63M","-4,66%"
"Sep 2018","14.580,0","15.860,0","15.860,0","14.000,0","5,05M","-8,07%"
"Ago 2018","15.860,0","16.240,0","16.380,0","15.800,0","4,35M","-2,34%"
"Jul 2018","16.240,0","16.200,0","16.420,0","15.960,0","6,92M","0,25%"
"Jun 2018","16.200,0","16.480,0","16.860,0","15.900,0","5,17M","-1,82%"
"May 2018","16.500,0","16.980,0","17.220,0","15.400,0","6,95M","-2,71%"
"Abr 2018","16.960,0","16.340,0","16.960,0","15.600,0","9,01M","2,91%"
"Mar 2018","16.480,0","16.780,0","17.140,0","15.820,0","9,74M","-1,79%"
"Feb 2018","16.780,0","17.900,0","18.740,0","16.520,0","10,66M","-6,15%"
"Ene 2018","17.880,0","16.500,0","18.580,0","16.040,0","10,19M","7,97%"
"Dic 2017","16.560,0","16.380,0","16.700,0","16.300,0","13,58M","1,10%"
"Nov 2017","16.380,0","16.340,0","16.760,0","16.040,0","6,45M","0,24%"
"Oct 2017","16.340,0","15.460,0","16.460,0","15.420,0","9,83M","5,69%"
"Sep 2017","15.460,0","15.300,0","15.520,0","15.260,0","5,26M","0,65%"
"Ago 2017","15.360,0","15.300,0","15.400,0","14.840,0","6,99M","0,79%"
"Jul 2017","15.240,0","15.360,0","15.540,0","14.740,0","10,14M","-0,65%"
"Jun 2017","15.340,0","15.600,0","15.680,0","15.220,0","6,78M","-1,67%"
"May 2017","15.600,0","15.180,0","15.980,0","15.160,0","17,87M","2,36%"
"Abr 2017","15.240,0","15.360,0","15.380,0","14.620,0","10,44M","-0,52%"
"Mar 2017","15.320,0","15.680,0","15.680,0","14.900,0","20,16M","-1,42%"
"Feb 2017","15.540,0","15.580,0","16.160,0","15.440,0","14,44M","-0,38%"
"Ene 2017","15.600,0","14.920,0","15.740,0","14.540,0","11,11M","4,70%"
"Dic 2016","14.900,0","14.300,0","15.080,0","14.200,0","6,20M","4,20%"
"Nov 2016","14.300,0","15.000,0","15.260,0","13.900,0","10,23M","-4,67%"
"Oct 2016","15.000,0","14.600,0","15.080,0","14.360,0","16,33M","2,04%"
"Sep 2016","14.700,0","14.600,0","15.200,0","14.300,0","18,63M","0,68%"
"Ago 2016","14.600,0","14.000,0","14.660,0","13.660,0","10,67M","4,29%"
"Jul 2016","14.000,0","14.260,0","14.600,0","13.560,0","28,64M","-1,41%"
"Jun 2016","14.200,0","15.200,0","15.440,0","14.180,0","17,14M","-6,58%"
"May 2016","15.200,0","16.200,0","16.580,0","15.020,0","13,06M","-5,12%"
"Abr 2016","16.020,0","15.540,0","17.300,0","14.900,0","11,47M","2,17%"
"Mar 2016","15.680,0","14.320,0","16.100,0","14.280,0","20,24M","10,42%"
"Feb 2016","14.200,0","13.640,0","14.440,0","13.240,0","8,04M","4,11%"
"Ene 2016","13.640,0","13.000,0","13.960,0","12.180,0","7,85M","1,04%"
"Dic 2015","13.500,0","11.000,0","13.880,0","10.620,0","18,15M","28,57%"
"Nov 2015","10.500,0","13.060,0","13.300,0","10.020,0","27,39M","-19,60%"
"Oct 2015","13.060,0","13.460,0","15.200,0","12.140,0","11,56M","-1,51%"
"Sep 2015","13.260,0","16.500,0","17.000,0","12.620,0","6,12M","-20,98%"
