"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Dic 2019","19.600,0","18.960,0","19.900,0","18.000,0","5,97M","3,27%"
"Nov 2019","18.980,0","19.360,0","20.580,0","17.900,0","6,66M","-2,67%"
"Oct 2019","19.500,0","18.300,0","20.880,0","18.020,0","6,43M","6,91%"
"Sep 2019","18.240,0","18.180,0","20.100,0","18.180,0","7,92M","0,33%"
"Ago 2019","18.180,0","17.720,0","18.280,0","16.020,0","9,60M","2,13%"
"Jul 2019","17.800,0","17.620,0","20.500,0","17.620,0","10,61M","-0,34%"
"Jun 2019","17.860,0","16.200,0","19.700,0","16.200,0","12,68M","10,25%"
"May 2019","16.200,0","15.980,0","16.200,0","15.420,0","21,53M","2,40%"
"Abr 2019","15.820,0","16.000,0","16.480,0","15.300,0","6,33M","-0,88%"
"Mar 2019","15.960,0","13.980,0","17.460,0","13.960,0","11,37M","14,16%"
"Feb 2019","13.980,0","13.940,0","14.140,0","13.800,0","9,32M","0,43%"
"Ene 2019","13.920,0","13.800,0","14.660,0","13.740,0","10,40M","-0,43%"
"Dic 2018","13.980,0","13.200,0","14.300,0","12.680,0","6,59M","8,04%"
"Nov 2018","12.940,0","12.000,0","13.680,0","12.000,0","5,23M","8,19%"
"Oct 2018","11.960,0","13.380,0","13.900,0","11.600,0","4,79M","-10,61%"
"Sep 2018","13.380,0","13.400,0","13.640,0","12.720,0","6,89M","-1,04%"
"Ago 2018","13.520,0","13.980,0","14.040,0","13.400,0","6,78M","-4,79%"
"Jul 2018","14.200,0","14.680,0","14.680,0","13.800,0","4,37M","-2,07%"
"Jun 2018","14.500,0","14.180,0","14.820,0","13.620,0","11,24M","2,40%"
"May 2018","14.160,0","14.480,0","14.500,0","13.600,0","10,17M","-2,21%"
"Abr 2018","14.480,0","13.380,0","15.200,0","13.200,0","9,59M","8,71%"
"Mar 2018","13.320,0","13.700,0","13.800,0","12.620,0","6,08M","-2,77%"
"Feb 2018","13.700,0","14.300,0","14.820,0","13.200,0","7,48M","-4,20%"
"Ene 2018","14.300,0","14.040,0","14.700,0","13.960,0","6,10M","0,70%"
"Dic 2017","14.200,0","13.660,0","14.400,0","13.600,0","6,39M","2,90%"
"Nov 2017","13.800,0","13.600,0","13.920,0","13.120,0","6,60M","3,60%"
"Oct 2017","13.320,0","13.660,0","13.960,0","13.140,0","7,26M","-2,63%"
