"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Dic 2019","3.250,00","3.200,00","3.250,00","3.100,00","1,16M","1,56%"
"Nov 2019","3.200,00","3.355,00","3.375,00","2.960,00","2,09M","-4,62%"
"Oct 2019","3.355,00","3.380,00","3.545,00","3.350,00","10,47M","0,15%"
"Sep 2019","3.350,00","3.100,00","3.565,00","3.100,00","3,32M","8,06%"
"Ago 2019","3.100,00","3.100,00","3.135,00","3.015,00","1,52M","0,00%"
"Jul 2019","3.100,00","2.665,00","3.150,00","2.665,00","3,21M","16,10%"
"Jun 2019","2.670,00","2.380,00","2.695,00","2.380,00","1,71M","14,10%"
"May 2019","2.340,00","2.300,00","2.400,00","2.300,00","1,39M","1,74%"
"Abr 2019","2.300,00","2.190,00","2.305,00","2.180,00","2,11M","4,55%"
"Mar 2019","2.200,00","1.800,00","2.200,00","1.800,00","1,72M","22,22%"
"Feb 2019","1.800,00","2.015,00","2.050,00","1.800,00","1,20M","-10,45%"
"Ene 2019","2.010,00","2.045,00","2.045,00","1.980,00","749,51K","-1,71%"
"Dic 2018","2.045,00","2.000,00","2.050,00","1.900,00","708,77K","2,25%"
"Nov 2018","2.000,00","2.020,00","2.020,00","1.900,00","386,99K","0,25%"
"Oct 2018","1.995,00","2.080,00","2.080,00","1.850,00","956,85K","-3,16%"
"Sep 2018","2.060,00","2.290,00","2.300,00","2.060,00","245,17K","-7,00%"
"Ago 2018","2.215,00","2.250,00","2.315,00","2.025,00","787,90K","-7,32%"
"Jul 2018","2.390,00","2.340,00","2.390,00","2.200,00","355,58K","2,14%"
"Jun 2018","2.340,00","2.375,00","2.415,00","2.320,00","470,96K","1,30%"
"May 2018","2.310,00","2.340,00","2.395,00","2.305,00","435,21K","0,43%"
"Abr 2018","2.300,00","2.375,00","2.400,00","2.300,00","579,33K","-4,17%"
"Mar 2018","2.400,00","2.400,00","2.450,00","2.300,00","464,78K","0,00%"
"Feb 2018","2.400,00","2.460,00","2.495,00","2.400,00","500,53K","-2,04%"
"Ene 2018","2.450,00","2.530,00","2.540,00","2.375,00","988,30K","-3,16%"
"Dic 2017","2.530,00","2.545,00","2.545,00","2.420,00","802,68K","-0,20%"
"Nov 2017","2.535,00","2.530,00","2.590,00","2.455,00","684,01K","1,40%"
"Oct 2017","2.500,00","2.555,00","2.585,00","2.460,00","907,15K","-2,15%"
"Sep 2017","2.555,00","2.640,00","2.675,00","2.540,00","1,15M","-3,22%"
"Ago 2017","2.640,00","2.580,00","2.640,00","2.490,00","1,55M","-0,38%"
"Jul 2017","2.650,00","2.700,00","2.735,00","2.540,00","781,49K","-2,21%"
"Jun 2017","2.710,00","2.620,00","2.710,00","2.540,00","1,11M","3,44%"
"May 2017","2.620,00","2.640,00","2.725,00","2.505,00","2,00M","0,77%"
"Abr 2017","2.600,00","2.425,00","2.600,00","2.400,00","1,66M","6,12%"
"Mar 2017","2.450,00","2.375,00","2.450,00","2.305,00","1,53M","2,30%"
"Feb 2017","2.395,00","2.075,00","2.490,00","2.050,00","3,37M","15,14%"
"Ene 2017","2.080,00","1.940,00","2.150,00","1.900,00","3,09M","8,33%"
"Dic 2016","1.920,00","2.000,00","2.000,00","1.895,00","1,97M","-4,00%"
"Nov 2016","2.000,00","2.100,00","2.100,00","1.940,00","663,81K","-4,76%"
"Oct 2016","2.100,00","2.220,00","2.220,00","2.090,00","439,30K","-4,55%"
"Sep 2016","2.200,00","2.350,00","2.350,00","2.065,00","1,36M","-6,38%"
"Ago 2016","2.350,00","2.400,00","2.580,00","2.305,00","1,29M","-2,08%"
"Jul 2016","2.400,00","2.500,00","2.680,00","2.400,00","499,08K","-1,64%"
"Jun 2016","2.440,00","2.395,00","2.440,00","2.300,00","992,44K","4,72%"
"May 2016","2.330,00","2.470,00","2.550,00","2.270,00","650,73K","-5,67%"
"Abr 2016","2.470,00","2.495,00","2.500,00","2.420,00","517,34K","-1,00%"
"Mar 2016","2.495,00","2.305,00","2.500,00","2.300,00","783,69K","7,78%"
"Feb 2016","2.315,00","1.980,00","2.390,00","1.930,00","2,47M","17,51%"
"Ene 2016","1.970,00","1.845,00","1.970,00","1.785,00","271,69K","6,78%"
"Dic 2015","1.845,00","1.760,00","1.890,00","1.760,00","407,13K","4,83%"
"Nov 2015","1.760,00","1.900,00","1.900,00","1.755,00","720,08K","-7,37%"
"Oct 2015","1.900,00","1.850,00","2.000,00","1.850,00","280,43K","0,00%"
"Sep 2015","1.900,00","1.915,00","1.985,00","1.900,00","536,30K","-1,04%"
"Ago 2015","1.920,00","1.750,00","1.960,00","1.750,00","414,04K","8,47%"
"Jul 2015","1.770,00","1.450,00","1.770,00","1.440,00","1,12M","22,49%"
"Jun 2015","1.445,00","1.505,00","1.585,00","1.400,00","3,45M","-3,34%"
"May 2015","1.495,00","1.785,00","1.790,00","1.495,00","477,82K","-16,71%"
"Abr 2015","1.795,00","1.900,00","1.900,00","1.725,00","1,40M","-5,53%"
"Mar 2015","1.900,00","1.860,00","1.900,00","1.855,00","333,63K","2,15%"
"Feb 2015","1.860,00","1.920,00","1.940,00","1.825,00","1,17M","-6,77%"
"Ene 2015","1.995,00","2.305,00","2.305,00","1.995,00","412,29K","-16,88%"
"Dic 2014","2.400,00","2.290,00","2.400,00","2.000,00","2,87M","1,05%"
"Nov 2014","2.375,00","2.675,00","2.675,00","2.375,00","174,89K","-14,72%"
"Oct 2014","2.785,00","2.825,00","2.825,00","2.730,00","179,86K","-5,27%"
"Sep 2014","2.940,00","2.910,00","3.110,00","2.900,00","4,09M","1,38%"
"Ago 2014","2.900,00","2.810,00","2.900,00","2.750,00","1,14M","0,17%"
"Jul 2014","2.895,00","2.900,00","2.940,00","2.745,00","620,76K","-2,03%"
"Jun 2014","2.955,00","2.775,00","2.985,00","2.730,00","1,22M","5,72%"
"May 2014","2.795,00","2.975,00","2.975,00","2.745,00","797,05K","-3,29%"
"Abr 2014","2.890,00","2.950,00","3.020,00","2.860,00","914,38K","-3,02%"
"Mar 2014","2.980,00","2.950,00","3.095,00","2.865,00","3,27M","-0,67%"
"Feb 2014","3.000,00","3.045,00","3.110,00","2.800,00","1,62M","-4,61%"
"Ene 2014","3.145,00","3.600,00","3.600,00","3.025,00","898,69K","-13,00%"
"Dic 2013","3.615,00","3.100,00","3.635,00","2.950,00","1,86M","12,09%"
"Nov 2013","3.225,00","3.365,00","3.365,00","3.000,00","667,23K","-5,29%"
"Oct 2013","3.405,00","3.300,00","3.620,00","3.155,00","1,98M","3,03%"
"Sep 2013","3.305,00","3.455,00","3.460,00","3.085,00","2,95M","-4,62%"
"Ago 2013","3.465,00","2.900,00","3.500,00","2.795,00","2,27M","17,86%"
"Jul 2013","2.940,00","3.415,00","3.415,00","2.900,00","1,25M","-16,95%"
"Jun 2013","3.540,00","3.870,00","3.870,00","3.300,00","463,92K","-8,53%"
"May 2013","3.870,00","4.000,00","4.000,00","3.640,00","1,90M","-5,38%"
"Abr 2013","4.090,00","4.700,00","4.700,00","4.000,00","554,53K","-13,26%"
"Mar 2013","4.715,00","4.850,00","4.880,00","4.620,00","505,35K","-2,98%"
"Feb 2013","4.860,00","4.600,00","4.895,00","4.550,00","1,38M","5,65%"
"Ene 2013","4.600,00","4.320,00","4.630,00","4.140,00","2,19M","8,24%"
"Dic 2012","4.250,00","4.205,00","4.485,00","4.200,00","1,27M","1,07%"
"Nov 2012","4.205,00","4.820,00","4.900,00","4.200,00","1,83M","-12,40%"
"Oct 2012","4.800,00","4.100,00","4.800,00","4.070,00","4,67M","19,55%"
"Sep 2012","4.015,00","4.250,00","4.400,00","3.900,00","1,81M","-6,84%"
"Ago 2012","4.310,00","4.000,00","4.370,00","4.000,00","1,62M","7,75%"
"Jul 2012","4.000,00","4.285,00","4.300,00","3.960,00","1,03M","-10,31%"
"Jun 2012","4.460,00","4.730,00","4.730,00","4.460,00","305,85K","-5,71%"
"May 2012","4.730,00","4.830,00","4.850,00","4.700,00","2,16M","-2,07%"
"Abr 2012","4.830,00","4.910,00","4.985,00","4.710,00","917,45K","-1,63%"
"Mar 2012","4.910,00","5.230,00","5.360,00","4.885,00","1,49M","-8,91%"
"Feb 2012","5.390,00","5.140,00","5.600,00","5.060,00","932,62K","3,45%"
"Ene 2012","5.210,00","4.975,00","5.370,00","4.700,00","990,97K","8,32%"
"Dic 2011","4.810,00","4.980,00","5.100,00","4.810,00","557,78K","-3,80%"
"Nov 2011","5.000,00","5.500,00","5.680,00","4.905,00","599,33K","-12,28%"
"Oct 2011","5.700,00","5.800,00","6.000,00","5.330,00","1,17M","-5,47%"
"Sep 2011","6.030,00","6.000,00","6.040,00","5.600,00","1,26M","-0,17%"
"Ago 2011","6.040,00","5.870,00","6.100,00","5.600,00","884,35K","2,90%"
"Jul 2011","5.870,00","6.200,00","6.200,00","5.670,00","1,34M","-5,32%"
"Jun 2011","6.200,00","6.560,00","6.580,00","6.200,00","705,83K","-5,34%"
"May 2011","6.550,00","6.640,00","6.700,00","6.160,00","1,09M","-1,36%"
"Abr 2011","6.640,00","6.300,00","6.640,00","6.060,00","1,96M","5,40%"
"Mar 2011","6.300,00","6.980,00","7.200,00","6.300,00","2,09M","-8,56%"
"Feb 2011","6.890,00","7.400,00","7.500,00","6.500,00","4,26M","-5,62%"
"Ene 2011","7.300,00","7.850,00","7.910,00","7.300,00","735,20K","-7,12%"
