"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"Dic 2019","25.400,0","25.620,0","25.900,0","24.900,0","2,97M","-1,93%"
"Nov 2019","25.900,0","25.700,0","26.400,0","24.700,0","2,09M","1,01%"
"Oct 2019","25.640,0","25.480,0","25.900,0","25.200,0","2,25M","1,18%"
"Sep 2019","25.340,0","25.960,0","26.000,0","24.920,0","2,36M","-1,93%"
"Ago 2019","25.840,0","25.480,0","25.920,0","24.400,0","2,01M","2,87%"
"Jul 2019","25.120,0","25.460,0","26.200,0","24.900,0","3,31M","0,40%"
"Jun 2019","25.020,0","24.880,0","26.300,0","23.820,0","4,93M","0,56%"
"May 2019","24.880,0","26.760,0","26.900,0","24.800,0","2,43M","-7,16%"
"Abr 2019","26.800,0","26.000,0","26.940,0","25.440,0","2,45M","3,96%"
"Mar 2019","25.780,0","26.040,0","27.180,0","25.300,0","6,25M","-1,23%"
"Feb 2019","26.100,0","26.600,0","27.000,0","26.000,0","2,87M","-1,66%"
"Ene 2019","26.540,0","23.060,0","26.700,0","23.020,0","3,64M","12,94%"
"Dic 2018","23.500,0","23.680,0","24.860,0","22.600,0","1,33M","-3,29%"
"Nov 2018","24.300,0","22.300,0","24.380,0","22.140,0","2,23M","8,97%"
"Oct 2018","22.300,0","25.300,0","25.300,0","22.300,0","2,01M","-7,85%"
"Sep 2018","24.200,0","26.660,0","26.680,0","23.800,0","2,19M","-9,30%"
"Ago 2018","26.680,0","26.800,0","27.100,0","26.040,0","1,61M","-0,97%"
"Jul 2018","26.940,0","26.520,0","27.300,0","26.200,0","3,21M","-0,22%"
"Jun 2018","27.000,0","25.940,0","27.300,0","25.820,0","2,22M","4,57%"
"May 2018","25.820,0","27.260,0","27.280,0","25.660,0","2,60M","-5,07%"
"Abr 2018","27.200,0","26.000,0","27.200,0","25.700,0","1,96M","4,70%"
"Mar 2018","25.980,0","26.980,0","27.120,0","25.200,0","1,68M","-3,78%"
"Feb 2018","27.000,0","27.360,0","27.600,0","26.900,0","3,07M","-0,15%"
"Ene 2018","27.040,0","27.400,0","27.860,0","26.680,0","1,92M","-2,80%"
"Dic 2017","27.820,0","27.500,0","28.000,0","27.220,0","1,26M","1,31%"
"Nov 2017","27.460,0","26.840,0","28.000,0","26.800,0","1,62M","1,63%"
"Oct 2017","27.020,0","26.740,0","27.180,0","26.580,0","1,59M","0,67%"
"Sep 2017","26.840,0","27.020,0","27.300,0","26.360,0","1,61M","-1,11%"
"Ago 2017","27.140,0","26.220,0","27.480,0","26.220,0","3,07M","1,65%"
"Jul 2017","26.700,0","26.200,0","26.720,0","25.400,0","2,12M","1,14%"
"Jun 2017","26.400,0","25.840,0","26.480,0","25.360,0","3,01M","2,17%"
"May 2017","25.840,0","24.160,0","26.120,0","24.160,0","4,71M","5,81%"
"Abr 2017","24.420,0","24.120,0","24.460,0","24.060,0","2,38M","0,16%"
"Mar 2017","24.380,0","23.700,0","24.400,0","23.100,0","2,44M","3,31%"
"Feb 2017","23.600,0","24.020,0","24.380,0","23.520,0","2,46M","-1,91%"
"Ene 2017","24.060,0","24.900,0","25.200,0","24.000,0","2,59M","-3,37%"
"Dic 2016","24.900,0","23.380,0","25.000,0","22.920,0","1,78M","8,92%"
"Nov 2016","22.860,0","25.120,0","25.220,0","22.820,0","2,56M","-9,21%"
"Oct 2016","25.180,0","25.040,0","25.780,0","25.020,0","4,01M","-0,63%"
"Sep 2016","25.340,0","26.020,0","26.300,0","25.000,0","2,45M","-2,99%"
"Ago 2016","26.120,0","25.220,0","26.340,0","25.120,0","3,63M","3,57%"
"Jul 2016","25.220,0","25.020,0","25.780,0","24.660,0","2,69M","0,48%"
"Jun 2016","25.100,0","25.500,0","25.840,0","24.820,0","5,33M","-1,57%"
"May 2016","25.500,0","25.980,0","26.300,0","24.120,0","2,52M","-1,92%"
"Abr 2016","26.000,0","25.500,0","26.460,0","24.700,0","3,65M","1,96%"
"Mar 2016","25.500,0","24.280,0","25.800,0","24.280,0","3,85M","5,11%"
"Feb 2016","24.260,0","23.500,0","24.900,0","23.400,0","3,70M","3,06%"
"Ene 2016","23.540,0","21.240,0","23.640,0","21.240,0","3,84M","4,07%"
"Dic 2015","22.620,0","20.440,0","22.620,0","19.840,0","3,75M","14,13%"
"Nov 2015","19.820,0","21.500,0","22.000,0","19.500,0","2,42M","-9,17%"
"Oct 2015","21.820,0","20.880,0","21.820,0","20.600,0","2,28M","5,00%"
"Sep 2015","20.780,0","19.780,0","21.780,0","19.060,0","4,22M","4,42%"
"Ago 2015","19.900,0","22.140,0","22.200,0","18.680,0","3,08M","-10,04%"
"Jul 2015","22.120,0","23.000,0","23.040,0","21.900,0","2,46M","-3,41%"
"Jun 2015","22.900,0","22.720,0","23.200,0","22.020,0","3,56M","1,78%"
"May 2015","22.500,0","24.760,0","25.100,0","22.320,0","2,59M","-9,13%"
"Abr 2015","24.760,0","22.940,0","25.480,0","22.800,0","2,89M","8,12%"
"Mar 2015","22.900,0","24.040,0","24.500,0","22.200,0","3,62M","-5,45%"
"Feb 2015","24.220,0","25.700,0","26.560,0","23.740,0","2,21M","-5,02%"
"Ene 2015","25.500,0","28.040,0","28.040,0","25.500,0","2,83M","-10,84%"
"Dic 2014","28.600,0","27.320,0","29.500,0","25.820,0","4,31M","4,23%"
"Nov 2014","27.440,0","27.780,0","28.500,0","27.020,0","2,62M","-1,29%"
"Oct 2014","27.800,0","27.600,0","28.100,0","26.000,0","2,52M","0,36%"
"Sep 2014","27.700,0","28.540,0","28.800,0","27.500,0","2,02M","-3,35%"
"Ago 2014","28.660,0","27.120,0","28.660,0","26.500,0","3,12M","5,76%"
"Jul 2014","27.100,0","27.560,0","27.800,0","26.760,0","3,88M","-1,88%"
"Jun 2014","27.620,0","27.100,0","27.920,0","27.100,0","1,63M","1,77%"
"May 2014","27.140,0","27.180,0","28.700,0","26.700,0","3,03M","-0,15%"
"Abr 2014","27.180,0","27.020,0","27.920,0","26.400,0","2,82M","-0,37%"
"Mar 2014","27.280,0","24.500,0","27.500,0","24.200,0","3,26M","12,91%"
"Feb 2014","24.160,0","23.600,0","26.300,0","23.400,0","3,89M","2,37%"
"Ene 2014","23.600,0","26.520,0","26.600,0","23.500,0","2,97M","-10,74%"
"Dic 2013","26.440,0","26.040,0","26.900,0","25.100,0","2,49M","1,69%"
"Nov 2013","26.000,0","27.020,0","27.500,0","26.000,0","3,31M","-3,70%"
"Oct 2013","27.000,0","27.060,0","27.700,0","26.680,0","4,85M","-0,81%"
"Sep 2013","27.220,0","27.460,0","29.000,0","27.220,0","3,36M","-1,02%"
"Ago 2013","27.500,0","25.500,0","27.900,0","25.500,0","3,83M","7,84%"
"Jul 2013","25.500,0","23.900,0","26.140,0","22.900,0","5,64M","6,34%"
"Jun 2013","23.980,0","25.660,0","25.980,0","23.240,0","2,35M","-5,96%"
"May 2013","25.500,0","25.020,0","26.680,0","25.020,0","3,13M","1,35%"
"Abr 2013","25.160,0","26.040,0","26.380,0","24.600,0","2,66M","-3,23%"
"Mar 2013","26.000,0","26.500,0","26.760,0","25.000,0","2,22M","-2,84%"
"Feb 2013","26.760,0","24.980,0","26.980,0","24.900,0","4,73M","7,47%"
"Ene 2013","24.900,0","25.500,0","25.680,0","24.840,0","2,49M","-2,05%"
"Dic 2012","25.420,0","24.500,0","25.800,0","24.420,0","2,92M","1,68%"
"Nov 2012","25.000,0","24.720,0","25.000,0","21.900,0","3,34M","2,04%"
"Oct 2012","24.500,0","21.400,0","25.180,0","21.340,0","7,76M","16,56%"
"Sep 2012","21.020,0","20.520,0","21.880,0","20.500,0","3,64M","2,54%"
"Ago 2012","20.500,0","20.820,0","20.820,0","20.100,0","2,45M","-1,91%"
"Jul 2012","20.900,0","20.600,0","21.100,0","20.540,0","2,11M","1,95%"
"Jun 2012","20.500,0","20.900,0","21.360,0","20.300,0","1,96M","-3,30%"
"May 2012","21.200,0","21.580,0","22.100,0","21.100,0","2,85M","-1,94%"
"Abr 2012","21.620,0","21.400,0","21.880,0","21.180,0","1,89M","-0,18%"
"Mar 2012","21.660,0","21.900,0","22.100,0","21.080,0","1,88M","-1,10%"
"Feb 2012","21.900,0","21.360,0","23.320,0","21.320,0","6,14M","2,82%"
"Ene 2012","21.300,0","21.700,0","21.800,0","20.400,0","1,77M","-2,29%"
"Dic 2011","21.800,0","21.300,0","22.300,0","21.100,0","7,76M","2,35%"
"Nov 2011","21.300,0","22.500,0","22.580,0","20.460,0","3,08M","-5,75%"
"Oct 2011","22.600,0","23.140,0","23.200,0","22.300,0","3,17M","-2,92%"
