"Date","Price","Open","High","Low","Vol.","Change %"
"May 21","27,600.0","28,100.0","29,870.0","27,270.0","194.57K","-1.43%"
"Apr 21","28,000.0","29,500.0","30,780.0","28,000.0","9.54M","-4.04%"
"Mar 21","29,180.0","30,900.0","31,360.0","29,180.0","9.87M","-5.87%"
"Feb 21","31,000.0","31,810.0","32,960.0","29,810.0","11.49M","-1.65%"
"Jan 21","31,520.0","34,700.0","35,040.0","30,550.0","15.10M","-10.20%"
"Dec 20","35,100.0","27,750.0","35,700.0","27,750.0","17.70M","25.85%"
"Nov 20","27,890.0","24,580.0","28,500.0","24,580.0","13.86M","13.84%"
"Oct 20","24,500.0","24,820.0","25,900.0","23,330.0","11.42M","-0.81%"
"Sep 20","24,700.0","26,300.0","28,280.0","24,300.0","16.64M","-7.56%"
"Aug 20","26,720.0","26,480.0","27,440.0","24,100.0","15.66M","0.83%"
"Jul 20","26,500.0","24,960.0","26,700.0","24,000.0","22.23M","7.29%"
"Jun 20","24,700.0","24,360.0","30,380.0","24,360.0","20.69M","0.41%"
"May 20","24,600.0","25,180.0","25,440.0","21,400.0","20.08M","-4.95%"
"Apr 20","25,880.0","25,800.0","28,180.0","23,800.0","21.05M","-5.89%"
"Mar 20","27,500.0","42,080.0","42,300.0","17,760.0","30.28M","-34.65%"
"Feb 20","42,080.0","44,840.0","47,400.0","40,540.0","17.18M","-5.86%"
"Jan 20","44,700.0","44,800.0","45,960.0","43,600.0","7.56M","-2.40%"
"Dec 19","45,800.0","42,800.0","47,000.0","42,240.0","7.76M","5.68%"
"Nov 19","43,340.0","43,560.0","46,380.0","42,080.0","9.39M","-1.77%"
"Oct 19","44,120.0","43,200.0","44,420.0","41,900.0","8.67M","2.60%"
"Sep 19","43,000.0","42,520.0","44,400.0","41,080.0","8.88M","0.61%"
"Aug 19","42,740.0","40,560.0","44,200.0","40,080.0","11.92M","3.59%"
"Jul 19","41,260.0","40,880.0","42,280.0","40,280.0","8.71M","1.13%"
"Jun 19","40,800.0","38,940.0","41,260.0","38,940.0","11.66M","3.29%"
"May 19","39,500.0","40,800.0","41,100.0","37,540.0","11.36M","-3.42%"
"Apr 19","40,900.0","40,200.0","43,160.0","39,360.0","9.85M","1.24%"
