"Date","Price","Open","High","Low","Vol.","Change %"
"May 21","29,000.0","29,560.0","31,780.0","28,300.0","16.70K","-1.06%"
"Apr 21","29,310.0","30,170.0","31,800.0","29,310.0","2.30M","-1.81%"
"Mar 21","29,850.0","32,000.0","32,560.0","29,550.0","6.02M","-5.21%"
"Feb 21","31,490.0","33,400.0","33,780.0","31,000.0","1.47M","-6.56%"
"Jan 21","33,700.0","35,100.0","36,030.0","31,800.0","2.80M","-7.42%"
"Dec 20","36,400.0","28,440.0","37,400.0","28,440.0","2.83M","29.54%"
"Nov 20","28,100.0","25,980.0","28,980.0","25,610.0","3.06M","11.82%"
"Oct 20","25,130.0","27,240.0","27,680.0","25,000.0","1.44M","-8.28%"
"Sep 20","27,400.0","28,980.0","29,800.0","27,220.0","1.84M","-5.45%"
"Aug 20","28,980.0","27,660.0","28,980.0","26,000.0","2.99M","5.00%"
"Jul 20","27,600.0","28,140.0","29,500.0","27,200.0","2.61M","-1.43%"
"Jun 20","28,000.0","25,280.0","31,000.0","25,280.0","2.30M","14.29%"
"May 20","24,500.0","28,700.0","28,700.0","24,020.0","1.43M","-14.69%"
"Apr 20","28,720.0","29,500.0","30,120.0","26,400.0","3.08M","-5.84%"
"Mar 20","30,500.0","42,040.0","43,500.0","22,040.0","4.58M","-27.38%"
"Feb 20","42,000.0","45,900.0","47,440.0","41,300.0","2.06M","-8.66%"
"Jan 20","45,980.0","45,320.0","46,000.0","43,540.0","2.72M","0.00%"
"Dec 19","45,980.0","43,300.0","45,980.0","42,000.0","2.68M","4.50%"
"Nov 19","44,000.0","43,200.0","45,300.0","42,640.0","1.45M","1.85%"
"Oct 19","43,200.0","42,000.0","43,940.0","41,000.0","1.99M","1.65%"
"Sep 19","42,500.0","41,040.0","42,500.0","40,040.0","2.03M","2.07%"
"Aug 19","41,640.0","40,600.0","42,920.0","39,000.0","3.74M","1.22%"
"Jul 19","41,140.0","39,440.0","43,000.0","39,440.0","2.78M","1.63%"
"Jun 19","40,480.0","37,520.0","41,000.0","37,520.0","1.87M","6.08%"
"May 19","38,160.0","39,340.0","39,700.0","36,520.0","2.54M","-4.60%"
"Apr 19","40,000.0","36,700.0","41,500.0","36,700.0","2.48M","6.95%"
"Mar 19","37,400.0","37,500.0","40,000.0","36,120.0","2.33M","-0.90%"
"Feb 19","37,740.0","35,300.0","38,000.0","35,120.0","1.89M","5.89%"
"Jan 19","35,640.0","30,920.0","35,980.0","30,920.0","2.27M","15.27%"
"Dec 18","30,920.0","32,740.0","34,500.0","29,400.0","1.78M","-4.92%"
"Nov 18","32,520.0","31,000.0","34,200.0","30,660.0","1.34M","4.90%"
"Oct 18","31,000.0","34,200.0","34,580.0","30,100.0","1.85M","-9.36%"
"Sep 18","34,200.0","34,840.0","36,000.0","32,220.0","2.32M","-3.66%"
"Aug 18","35,500.0","35,520.0","36,280.0","33,260.0","3.41M","-0.56%"
"Jul 18","35,700.0","36,240.0","38,000.0","35,640.0","3.27M","-3.51%"
"Jun 18","37,000.0","34,460.0","37,000.0","34,180.0","3.60M","7.37%"
"May 18","34,460.0","33,800.0","34,800.0","31,860.0","2.67M","2.07%"
"Apr 18","33,760.0","30,140.0","33,840.0","29,920.0","3.95M","12.08%"
"Mar 18","30,120.0","29,700.0","30,860.0","29,580.0","2.28M","1.41%"
"Feb 18","29,700.0","31,880.0","32,100.0","29,700.0","4.24M","-6.84%"
"Jan 18","31,880.0","29,940.0","32,700.0","29,200.0","3.33M","6.48%"
"Dec 17","29,940.0","29,700.0","30,300.0","28,760.0","2.62M","3.24%"
"Nov 17","29,000.0","30,560.0","31,600.0","28,800.0","3.46M","-3.27%"
"Oct 17","29,980.0","33,080.0","33,280.0","29,080.0","6.51M","-9.86%"
"Sep 17","33,260.0","32,840.0","33,900.0","32,780.0","3.88M","0.79%"
"Aug 17","33,000.0","33,460.0","34,020.0","32,520.0","1.74M","-2.65%"
"Jul 17","33,900.0","32,360.0","34,520.0","32,360.0","1.39M","0.65%"
"Jun 17","33,680.0","33,020.0","33,680.0","31,680.0","1.20M","2.00%"
"May 17","33,020.0","30,280.0","33,600.0","30,280.0","2.52M","6.52%"
"Apr 17","31,000.0","29,940.0","31,280.0","29,920.0","2.91M","3.61%"
"Mar 17","29,920.0","29,360.0","30,560.0","28,420.0","4.43M","0.74%"
"Feb 17","29,700.0","31,100.0","31,640.0","29,460.0","3.34M","-5.59%"
"Jan 17","31,460.0","29,720.0","31,780.0","29,720.0","2.70M","4.87%"
"Dec 16","30,000.0","28,740.0","30,500.0","28,600.0","4.42M","4.68%"
"Nov 16","28,660.0","30,600.0","31,220.0","28,500.0","5.25M","-6.34%"
"Oct 16","30,600.0","28,560.0","31,000.0","28,560.0","5.14M","3.73%"
"Sep 16","29,500.0","29,000.0","30,260.0","28,540.0","4.42M","1.10%"
"Aug 16","29,180.0","26,800.0","29,500.0","26,680.0","7.98M","8.07%"
"Jul 16","27,000.0","26,820.0","27,200.0","26,200.0","14.75M","0.45%"
"Jun 16","26,880.0","26,160.0","28,020.0","25,840.0","5.35M","2.60%"
"May 16","26,200.0","26,840.0","26,840.0","25,000.0","6.93M","-2.38%"
"Apr 16","26,840.0","26,540.0","28,000.0","26,140.0","3.94M","-2.33%"
"Mar 16","27,480.0","25,000.0","27,480.0","25,000.0","2.40M","9.57%"
"Feb 16","25,080.0","22,920.0","25,200.0","22,660.0","5.03M","8.29%"
"Jan 16","23,160.0","21,560.0","23,500.0","20,520.0","3.74M","6.24%"
"Dec 15","21,800.0","21,000.0","21,960.0","20,060.0","7.74M","6.34%"
"Nov 15","20,500.0","23,560.0","24,200.0","20,180.0","14.06M","-13.94%"
"Oct 15","23,820.0","23,560.0","25,100.0","22,620.0","2.02M","-0.67%"
"Sep 15","23,980.0","23,400.0","25,880.0","21,800.0","2.44M","0.59%"
"Aug 15","23,840.0","25,940.0","26,100.0","22,100.0","3.29M","-9.97%"
"Jul 15","26,480.0","26,740.0","26,740.0","25,700.0","1.74M","-0.97%"
