"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"May 2021","11.400,0","11.480,0","11.900,0","11.300,0","1,35K","-4,60%"
"Abr 2021","11.950,0","11.960,0","12.530,0","11.840,0","1,43M","-0,50%"
"Mar 2021","12.010,0","12.000,0","12.500,0","11.700,0","1,67M","2,04%"
"Feb 2021","11.770,0","12.350,0","12.680,0","11.770,0","711,28K","-4,70%"
"Ene 2021","12.350,0","11.860,0","12.870,0","11.810,0","396,36K","3,96%"
"Dic 2020","11.880,0","11.180,0","11.950,0","11.140,0","1,13M","6,55%"
"Nov 2020","11.150,0","10.500,0","11.490,0","10.480,0","463,64K","9,31%"
"Oct 2020","10.200,0","11.400,0","11.400,0","10.200,0","388,15K","-11,30%"
"Sep 2020","11.500,0","11.700,0","11.860,0","10.900,0","737,18K","7,48%"
"Ago 2020","10.700,0","11.040,0","11.920,0","10.700,0","169,55K","-2,73%"
"Jul 2020","11.000,0","10.680,0","11.420,0","10.500,0","1,24M","2,80%"
"Jun 2020","10.700,0","9.500,0","10.900,0","9.500,0","669,99K","4,70%"
"May 2020","10.220,0","9.270,0","10.220,0","8.560,0","359,01K","9,07%"
"Abr 2020","9.370,0","8.700,0","9.370,0","8.450,0","1,70M","6,00%"
"Mar 2020","8.840,0","10.460,0","10.700,0","8.000,0","656,29K","-14,67%"
"Feb 2020","10.360,0","10.920,0","11.380,0","10.100,0","689,83K","-5,82%"
"Ene 2020","11.000,0","11.600,0","12.300,0","10.920,0","305,68K","-5,17%"
"Dic 2019","11.600,0","11.260,0","12.500,0","11.260,0","563,68K","-6,00%"
"Nov 2019","12.340,0","10.900,0","12.340,0","10.500,0","353,99K","14,26%"
"Oct 2019","10.800,0","11.500,0","11.540,0","10.800,0","310,25K","-6,09%"
"Sep 2019","11.500,0","12.000,0","12.040,0","11.400,0","1,23M","-4,33%"
"Ago 2019","12.020,0","12.060,0","12.600,0","11.900,0","860,01K","-0,33%"
"Jul 2019","12.060,0","12.460,0","12.600,0","12.000,0","451,34K","-3,98%"
"Jun 2019","12.560,0","12.140,0","12.560,0","12.120,0","625,41K","3,46%"
"May 2019","12.140,0","12.400,0","12.440,0","12.000,0","664,74K","-2,88%"
"Abr 2019","12.500,0","12.060,0","12.500,0","12.000,0","214,58K","3,65%"
"Mar 2019","12.060,0","10.900,0","12.060,0","10.900,0","1,04M","11,67%"
"Feb 2019","10.800,0","11.600,0","11.600,0","10.560,0","1,27M","-7,22%"
"Ene 2019","11.640,0","11.900,0","11.980,0","11.640,0","289,95K","-2,84%"
"Dic 2018","11.980,0","12.580,0","12.780,0","11.800,0","169,94K","2,92%"
"Nov 2018","11.640,0","12.940,0","13.480,0","11.640,0","381,94K","-10,46%"
"Oct 2018","13.000,0","11.860,0","13.300,0","11.860,0","3,04M","9,24%"
"Sep 2018","11.900,0","11.680,0","11.900,0","11.680,0","616,86K","1,36%"
"Ago 2018","11.740,0","11.920,0","11.960,0","11.600,0","260,97K","-1,84%"
"Jul 2018","11.960,0","11.180,0","11.960,0","11.180,0","325,16K","6,03%"
"Jun 2018","11.280,0","11.100,0","11.300,0","11.000,0","996,81K","2,55%"
"May 2018","11.000,0","11.160,0","11.300,0","10.700,0","1,95M","-2,22%"
"Abr 2018","11.250,0","11.200,0","11.950,0","11.100,0","160,03K","-0,88%"
"Mar 2018","11.350,0","12.400,0","12.400,0","11.150,0","753,81K","-9,56%"
