"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"May 2021","4.176,0","4.268,0","4.538,0","3.900,0","1,63M","-3,11%"
"Abr 2021","4.310,0","4.730,0","4.733,0","4.301,0","3,73M","-7,33%"
"Mar 2021","4.651,0","4.721,0","4.849,0","4.600,0","6,54M","-1,06%"
"Feb 2021","4.701,0","4.784,0","4.820,0","4.651,0","3,29M","-2,06%"
"Ene 2021","4.800,0","4.755,0","4.889,0","4.630,0","3,69M","1,31%"
"Dic 2020","4.738,0","4.500,0","4.899,0","4.500,0","5,92M","5,29%"
"Nov 2020","4.500,0","4.369,0","4.520,0","4.300,0","3,26M","6,99%"
"Oct 2020","4.206,0","4.600,0","4.688,0","4.206,0","3,29M","-8,96%"
"Sep 2020","4.620,0","4.640,0","4.725,0","4.345,0","3,53M","-0,43%"
"Ago 2020","4.640,0","4.200,0","4.700,0","4.105,0","3,34M","10,34%"
"Jul 2020","4.205,0","4.100,0","4.400,0","4.075,0","6,77M","2,19%"
"Jun 2020","4.115,0","4.080,0","4.330,0","4.000,0","7,22M","0,86%"
"May 2020","4.080,0","4.200,0","4.345,0","4.000,0","1,87M","-2,86%"
"Abr 2020","4.200,0","4.270,0","4.450,0","3.975,0","3,34M","-2,10%"
"Mar 2020","4.290,0","4.505,0","4.735,0","3.450,0","7,56M","-4,67%"
"Feb 2020","4.500,0","4.535,0","4.850,0","4.400,0","6,56M","-0,77%"
"Ene 2020","4.535,0","4.385,0","4.545,0","4.350,0","3,35M","2,83%"
"Dic 2019","4.410,0","4.355,0","4.500,0","4.350,0","3,72M","-0,11%"
"Nov 2019","4.415,0","4.420,0","4.480,0","4.310,0","9,08M","1,49%"
"Oct 2019","4.350,0","4.295,0","4.405,0","4.235,0","4,56M","0,00%"
"Sep 2019","4.350,0","4.295,0","4.490,0","4.260,0","5,68M","1,40%"
"Ago 2019","4.290,0","4.495,0","4.495,0","4.145,0","3,50M","-3,60%"
"Jul 2019","4.450,0","4.350,0","4.585,0","4.330,0","6,56M","2,42%"
"Jun 2019","4.345,0","4.240,0","4.350,0","3.990,0","1,78M","2,48%"
"May 2019","4.240,0","4.450,0","4.570,0","4.060,0","3,59M","-5,36%"
"Abr 2019","4.480,0","4.445,0","4.680,0","4.320,0","6,65M","1,13%"
"Mar 2019","4.430,0","4.400,0","4.645,0","4.320,0","5,41M","0,68%"
"Feb 2019","4.400,0","4.220,0","4.440,0","4.220,0","7,44M","2,68%"
"Ene 2019","4.285,0","3.980,0","4.330,0","3.900,0","11,82M","7,13%"
"Dic 2018","4.000,0","4.000,0","4.100,0","3.810,0","3,10M","0,00%"
"Nov 2018","4.000,0","3.980,0","4.430,0","3.800,0","3,16M","0,50%"
"Oct 2018","3.980,0","4.380,0","4.460,0","3.925,0","5,73M","-8,29%"
"Sep 2018","4.340,0","4.495,0","4.560,0","4.305,0","8,50M","-4,09%"
"Ago 2018","4.525,0","4.520,0","4.570,0","4.400,0","8,86M","0,78%"
"Jul 2018","4.490,0","4.600,0","4.650,0","4.485,0","7,66M","-3,34%"
"Jun 2018","4.645,0","4.620,0","4.740,0","4.565,0","5,98M","0,98%"
"May 2018","4.600,0","4.610,0","4.660,0","4.500,0","6,84M","-0,65%"
"Abr 2018","4.630,0","4.520,0","4.725,0","4.520,0","7,61M","2,55%"
"Mar 2018","4.515,0","4.550,0","4.600,0","4.430,0","5,48M","-0,66%"
"Feb 2018","4.545,0","4.680,0","4.860,0","4.520,0","14,36M","-2,88%"
"Ene 2018","4.680,0","4.710,0","4.950,0","4.600,0","7,42M","-1,68%"
"Dic 2017","4.760,0","4.800,0","4.800,0","4.630,0","5,47M","-0,83%"
"Nov 2017","4.800,0","4.590,0","4.850,0","4.440,0","3,09M","6,90%"
"Oct 2017","4.490,0","4.620,0","4.710,0","4.450,0","4,25M","-4,16%"
"Sep 2017","4.685,0","4.760,0","4.835,0","4.640,0","3,75M","-0,32%"
"Ago 2017","4.700,0","4.740,0","4.980,0","4.700,0","3,45M","-0,84%"
"Jul 2017","4.740,0","4.550,0","4.750,0","4.525,0","3,44M","3,04%"
"Jun 2017","4.600,0","4.540,0","4.670,0","4.505,0","2,94M","1,43%"
"May 2017","4.535,0","4.450,0","4.750,0","4.415,0","10,09M","1,23%"
"Abr 2017","4.480,0","4.360,0","4.480,0","4.330,0","3,74M","2,28%"
"Mar 2017","4.380,0","4.430,0","4.480,0","4.300,0","5,71M","-1,13%"
"Feb 2017","4.430,0","4.250,0","4.525,0","4.250,0","7,19M","4,24%"
"Ene 2017","4.250,0","4.010,0","4.365,0","4.000,0","10,13M","5,59%"
"Dic 2016","4.025,0","3.925,0","4.050,0","3.900,0","2,26M","3,21%"
"Nov 2016","3.900,0","4.055,0","4.100,0","3.835,0","4,51M","-3,82%"
"Oct 2016","4.055,0","3.950,0","4.080,0","3.905,0","2,72M","2,66%"
"Sep 2016","3.950,0","4.010,0","4.180,0","3.950,0","5,46M","-1,50%"
"Ago 2016","4.010,0","3.780,0","4.100,0","3.780,0","14,81M","6,51%"
"Jul 2016","3.765,0","3.840,0","3.920,0","3.765,0","1,87M","-2,21%"
"Jun 2016","3.850,0","3.895,0","3.990,0","3.810,0","4,30M","0,00%"
"May 2016","3.850,0","3.850,0","4.040,0","3.715,0","14,11M","0,00%"
"Abr 2016","3.850,0","3.880,0","4.165,0","3.800,0","10,78M","-1,03%"
"Mar 2016","3.890,0","3.650,0","3.890,0","3.410,0","13,96M","5,71%"
"Feb 2016","3.680,0","3.070,0","3.800,0","3.000,0","9,48M","20,46%"
"Ene 2016","3.055,0","2.805,0","3.140,0","2.800,0","4,58M","9,11%"
"Dic 2015","2.800,0","2.620,0","2.900,0","2.250,0","2,87M","6,06%"
"Nov 2015","2.640,0","2.970,0","2.970,0","2.310,0","3,02M","-11,71%"
"Oct 2015","2.990,0","3.540,0","3.620,0","2.970,0","3,40M","-16,25%"
"Sep 2015","3.570,0","3.400,0","4.000,0","3.400,0","5,28M","3,48%"
"Ago 2015","3.450,0","4.160,0","4.200,0","3.140,0","5,85M","-17,66%"
"Jul 2015","4.190,0","4.260,0","4.480,0","4.005,0","3,13M","-1,06%"
"Jun 2015","4.235,0","4.545,0","4.550,0","4.120,0","4,25M","-6,82%"
"May 2015","4.545,0","5.050,0","5.200,0","4.460,0","2,54M","-10,00%"
"Abr 2015","5.050,0","4.830,0","5.120,0","4.560,0","4,22M","4,55%"
"Mar 2015","4.830,0","5.000,0","5.100,0","4.585,0","5,47M","-5,29%"
"Feb 2015","5.100,0","5.310,0","5.490,0","4.930,0","3,12M","-0,97%"
"Ene 2015","5.150,0","5.700,0","5.700,0","5.150,0","3,29M","-12,27%"
"Dic 2014","5.870,0","5.720,0","6.050,0","5.000,0","9,57M","2,09%"
"Nov 2014","5.750,0","5.900,0","6.000,0","5.460,0","4,98M","-4,17%"
"Oct 2014","6.000,0","6.050,0","6.200,0","5.700,0","7,19M","-1,32%"
"Sep 2014","6.080,0","6.500,0","6.620,0","6.050,0","7,97M","-6,46%"
"Ago 2014","6.500,0","6.160,0","6.590,0","6.120,0","12,20M","6,73%"
"Jul 2014","6.090,0","6.090,0","6.240,0","5.940,0","14,69M","-0,16%"
"Jun 2014","6.100,0","5.900,0","6.270,0","5.880,0","5,54M","3,39%"
"May 2014","5.900,0","5.920,0","6.120,0","5.800,0","8,44M","-0,84%"
"Abr 2014","5.950,0","5.910,0","6.090,0","5.690,0","6,39M","1,02%"
"Mar 2014","5.890,0","5.340,0","6.100,0","5.300,0","31,70M","9,07%"
"Feb 2014","5.400,0","5.110,0","5.590,0","5.110,0","4,35M","5,68%"
"Ene 2014","5.110,0","5.700,0","5.700,0","4.885,0","4,01M","-10,04%"
"Dic 2013","5.680,0","5.680,0","5.800,0","5.470,0","2,74M","0,53%"
"Nov 2013","5.650,0","6.090,0","6.100,0","5.650,0","4,53M","-7,07%"
