"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"May 2021","3.700,0","3.720,0","3.890,0","3.600,0","15,37K","-5,13%"
"Abr 2021","3.900,0","4.000,0","4.100,0","3.775,0","236,56K","-2,50%"
"Mar 2021","4.000,0","4.000,0","4.140,0","3.810,0","425,44K","-2,44%"
"Feb 2021","4.100,0","4.150,0","4.600,0","4.060,0","561,67K","-1,91%"
"Ene 2021","4.180,0","4.700,0","5.090,0","4.180,0","1,15M","-9,76%"
"Dic 2020","4.632,0","3.235,0","4.900,0","3.000,0","5,16M","43,32%"
"Nov 2020","3.232,0","3.205,0","3.238,0","3.205,0","15,90M","0,84%"
"Oct 2020","3.205,0","3.200,0","3.205,0","3.188,0","14,39M","14,26%"
"Sep 2020","2.805,0","2.155,0","2.805,0","2.155,0","9,80M","28,97%"
"Ago 2020","2.175,0","1.725,0","2.370,0","1.720,0","12,92M","22,88%"
"Jul 2020","1.770,0","1.520,0","1.880,0","1.510,0","9,81M","16,45%"
"Jun 2020","1.520,0","1.690,0","1.740,0","1.450,0","16,13M","-2,25%"
"May 2020","1.555,0","1.800,0","1.800,0","1.400,0","8,15M","-13,61%"
"Abr 2020","1.800,0","1.485,0","1.990,0","1.360,0","19,89M","20,81%"
"Mar 2020","1.490,0","3.580,0","3.800,0","1.400,0","8,40M","-58,38%"
"Feb 2020","3.580,0","4.250,0","4.280,0","3.350,0","1,98M","-14,56%"
"Ene 2020","4.190,0","4.400,0","4.430,0","4.180,0","2,50M","-4,88%"
"Dic 2019","4.405,0","4.330,0","4.565,0","4.240,0","1,57M","-1,45%"
"Nov 2019","4.470,0","4.610,0","4.625,0","4.200,0","3,19M","-1,76%"
"Oct 2019","4.550,0","4.335,0","4.730,0","4.230,0","3,36M","4,96%"
"Sep 2019","4.335,0","4.450,0","4.800,0","4.070,0","3,73M","-1,37%"
"Ago 2019","4.395,0","4.300,0","4.505,0","4.195,0","3,39M","4,64%"
"Jul 2019","4.200,0","4.430,0","4.700,0","4.200,0","1,97M","-7,69%"
"Jun 2019","4.550,0","4.600,0","4.650,0","4.150,0","1,76M","-1,09%"
"May 2019","4.600,0","4.780,0","4.870,0","4.225,0","2,02M","-5,54%"
"Abr 2019","4.870,0","4.750,0","5.100,0","4.450,0","4,79M","1,46%"
"Mar 2019","4.800,0","4.980,0","4.980,0","4.400,0","7,02M","-4,00%"
"Feb 2019","5.000,0","4.405,0","5.640,0","4.400,0","8,86M","14,68%"
"Ene 2019","4.360,0","3.700,0","4.780,0","3.540,0","4,45M","17,84%"
"Dic 2018","3.700,0","4.285,0","4.300,0","3.470,0","2,93M","-10,41%"
"Nov 2018","4.130,0","5.000,0","5.740,0","3.800,0","12,33M","-17,40%"
"Oct 2018","5.000,0","5.390,0","5.650,0","5.000,0","4,28M","-7,41%"
"Sep 2018","5.400,0","6.290,0","6.300,0","5.000,0","7,23M","-14,29%"
"Ago 2018","6.300,0","7.360,0","7.700,0","5.900,0","3,55M","-13,70%"
"Jul 2018","7.300,0","8.400,0","8.400,0","7.100,0","6,42M","-12,05%"
"Jun 2018","8.300,0","8.470,0","8.920,0","8.200,0","2,60M","-6,74%"
"May 2018","8.900,0","8.720,0","8.990,0","7.980,0","4,47M","2,77%"
"Abr 2018","8.660,0","8.900,0","9.700,0","8.610,0","6,61M","-2,70%"
"Mar 2018","8.900,0","9.430,0","9.750,0","8.360,0","6,90M","-5,62%"
"Feb 2018","9.430,0","10.920,0","11.040,0","9.200,0","6,14M","-13,64%"
"Ene 2018","10.920,0","10.980,0","11.200,0","10.600,0","6,79M","-0,73%"
"Dic 2017","11.000,0","11.120,0","11.120,0","10.620,0","4,34M","1,10%"
"Nov 2017","10.880,0","10.800,0","11.340,0","10.700,0","3,78M","0,93%"
"Oct 2017","10.780,0","11.600,0","11.860,0","10.780,0","2,87M","-6,59%"
"Sep 2017","11.540,0","11.300,0","11.880,0","11.240,0","6,14M","3,04%"
"Ago 2017","11.200,0","10.820,0","11.340,0","10.520,0","8,13M","2,75%"
"Jul 2017","10.900,0","11.680,0","11.940,0","10.380,0","11,10M","-6,84%"
"Jun 2017","11.700,0","11.640,0","11.940,0","11.400,0","7,86M","0,52%"
"May 2017","11.640,0","10.820,0","12.100,0","10.660,0","13,05M","8,38%"
"Abr 2017","10.740,0","10.620,0","11.000,0","10.500,0","2,48M","1,32%"
"Mar 2017","10.600,0","10.780,0","10.800,0","10.000,0","5,74M","-1,49%"
"Feb 2017","10.760,0","11.460,0","11.760,0","10.540,0","3,51M","-6,11%"
"Ene 2017","11.460,0","11.240,0","11.800,0","11.240,0","1,84M","1,42%"
"Dic 2016","11.300,0","11.080,0","11.540,0","10.600,0","4,01M","1,80%"
"Nov 2016","11.100,0","11.180,0","11.880,0","10.520,0","4,95M","-0,72%"
"Oct 2016","11.180,0","10.520,0","11.980,0","10.520,0","6,78M","2,01%"
"Sep 2016","10.960,0","13.400,0","14.300,0","10.680,0","14,78M","-17,72%"
"Ago 2016","13.320,0","12.400,0","13.560,0","12.000,0","6,49M","7,42%"
"Jul 2016","12.400,0","12.600,0","12.800,0","11.740,0","7,08M","-1,59%"
"Jun 2016","12.600,0","13.480,0","13.480,0","12.560,0","7,03M","-6,53%"
"May 2016","13.480,0","13.100,0","13.680,0","12.560,0","4,24M","3,22%"
"Abr 2016","13.060,0","12.840,0","13.500,0","12.520,0","6,17M","1,24%"
"Mar 2016","12.900,0","10.720,0","12.900,0","10.720,0","5,15M","20,34%"
"Feb 2016","10.720,0","9.700,0","11.080,0","9.020,0","6,89M","10,52%"
"Ene 2016","9.700,0","10.300,0","10.460,0","9.700,0","3,52M","-5,83%"
"Dic 2015","10.300,0","8.920,0","10.380,0","8.800,0","4,87M","13,81%"
"Nov 2015","9.050,0","10.180,0","10.300,0","8.800,0","9,01M","-10,22%"
"Oct 2015","10.080,0","12.060,0","12.200,0","10.000,0","8,00M","-18,05%"
"Sep 2015","12.300,0","11.660,0","12.840,0","11.400,0","5,46M","5,13%"
"Ago 2015","11.700,0","12.660,0","12.660,0","10.400,0","8,93M","-7,44%"
