"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"May 2021","12.000,0","11.100,0","13.500,0","11.050,0","2,65K","2,83%"
"Abr 2021","11.670,0","12.910,0","13.350,0","11.010,0","123,49K","-14,69%"
"Mar 2021","13.680,0","13.650,0","13.840,0","13.030,0","301,53K","0,22%"
"Feb 2021","13.650,0","13.940,0","13.940,0","13.400,0","137,31K","0,96%"
"Ene 2021","13.520,0","13.800,0","13.950,0","13.120,0","185,05K","-2,66%"
"Dic 2020","13.890,0","12.460,0","14.300,0","12.460,0","307,97K","8,52%"
"Nov 2020","12.800,0","10.700,0","13.330,0","10.700,0","314,46K","19,40%"
"Oct 2020","10.720,0","11.200,0","11.300,0","10.300,0","222,05K","-4,29%"
"Sep 2020","11.200,0","11.500,0","11.620,0","11.000,0","142,25K","-0,88%"
"Ago 2020","11.300,0","10.300,0","11.500,0","10.300,0","683,81K","9,71%"
"Jul 2020","10.300,0","10.180,0","10.740,0","9.970,0","799,62K","3,00%"
"Jun 2020","10.000,0","10.700,0","11.060,0","9.800,0","585,18K","0,00%"
"May 2020","10.000,0","11.700,0","11.940,0","10.000,0","219,14K","-14,53%"
"Abr 2020","11.700,0","12.000,0","12.400,0","11.000,0","552,37K","-3,15%"
"Mar 2020","12.080,0","15.760,0","16.700,0","11.480,0","505,35K","-23,35%"
"Feb 2020","15.760,0","13.500,0","16.280,0","13.480,0","1,55M","14,20%"
"Ene 2020","13.800,0","13.800,0","13.800,0","12.360,0","690,51K","-0,58%"
"Dic 2019","13.880,0","14.000,0","14.680,0","13.000,0","681,93K","-0,86%"
"Nov 2019","14.000,0","17.900,0","17.980,0","14.000,0","7,47M","-21,79%"
"Oct 2019","17.900,0","17.800,0","17.920,0","17.800,0","26,08M","1,59%"
"Sep 2019","17.620,0","17.540,0","17.640,0","17.400,0","3,98M","0,23%"
"Ago 2019","17.580,0","17.400,0","17.600,0","17.100,0","10,96M","1,03%"
"Jul 2019","17.400,0","16.600,0","17.700,0","16.500,0","12,05M","4,32%"
"Jun 2019","16.680,0","14.100,0","16.800,0","13.760,0","13,66M","18,30%"
"May 2019","14.100,0","14.480,0","14.680,0","13.500,0","6,73M","-2,76%"
"Abr 2019","14.500,0","14.600,0","14.900,0","13.760,0","5,80M","-0,14%"
"Mar 2019","14.520,0","14.760,0","15.380,0","13.880,0","8,89M","-0,55%"
"Feb 2019","14.600,0","14.120,0","14.920,0","13.900,0","5,78M","3,55%"
"Ene 2019","14.100,0","12.420,0","14.160,0","12.000,0","6,55M","13,71%"
"Dic 2018","12.400,0","13.460,0","13.460,0","11.920,0","9,70M","-6,91%"
"Nov 2018","13.320,0","13.880,0","14.740,0","12.240,0","7,73M","-4,17%"
"Oct 2018","13.900,0","14.820,0","14.940,0","13.380,0","5,63M","-4,66%"
"Sep 2018","14.580,0","15.860,0","15.860,0","14.000,0","5,05M","-8,07%"
"Ago 2018","15.860,0","16.240,0","16.380,0","15.800,0","4,35M","-2,34%"
"Jul 2018","16.240,0","16.200,0","16.420,0","15.960,0","6,92M","0,25%"
"Jun 2018","16.200,0","16.480,0","16.860,0","15.900,0","5,17M","-1,82%"
