"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"May 2021","21.600,0","21.300,0","23.110,0","20.800,0","56,48K","0,47%"
"Abr 2021","21.500,0","22.890,0","23.350,0","21.500,0","2,64M","-7,21%"
"Mar 2021","23.170,0","23.860,0","24.830,0","22.910,0","3,90M","-2,20%"
"Feb 2021","23.690,0","24.870,0","24.870,0","23.280,0","2,47M","-2,91%"
"Ene 2021","24.400,0","24.050,0","25.000,0","23.180,0","1,75M","1,67%"
"Dic 2020","24.000,0","23.260,0","25.000,0","23.000,0","3,15M","3,18%"
"Nov 2020","23.260,0","22.000,0","23.300,0","21.260,0","3,01M","9,00%"
"Oct 2020","21.340,0","22.180,0","22.980,0","20.680,0","1,87M","-5,83%"
"Sep 2020","22.660,0","21.700,0","23.400,0","21.700,0","1,87M","3,00%"
"Ago 2020","22.000,0","20.700,0","22.000,0","20.120,0","4,30M","8,91%"
"Jul 2020","20.200,0","20.640,0","21.480,0","20.200,0","4,18M","-3,35%"
"Jun 2020","20.900,0","22.240,0","23.000,0","20.180,0","3,84M","-5,69%"
"May 2020","22.160,0","22.000,0","23.000,0","21.680,0","2,14M","0,45%"
"Abr 2020","22.060,0","19.040,0","24.000,0","18.020,0","3,36M","15,50%"
"Mar 2020","19.100,0","23.520,0","24.520,0","16.800,0","3,48M","-18,45%"
"Feb 2020","23.420,0","24.780,0","25.500,0","22.740,0","2,47M","-5,41%"
"Ene 2020","24.760,0","24.980,0","25.620,0","24.760,0","2,65M","-2,52%"
"Dic 2019","25.400,0","25.620,0","25.900,0","24.900,0","2,97M","-1,93%"
"Nov 2019","25.900,0","25.700,0","26.400,0","24.700,0","2,09M","1,01%"
"Oct 2019","25.640,0","25.480,0","25.900,0","25.200,0","2,25M","1,18%"
"Sep 2019","25.340,0","25.960,0","26.000,0","24.920,0","2,36M","-1,93%"
"Ago 2019","25.840,0","25.480,0","25.920,0","24.400,0","2,01M","2,87%"
"Jul 2019","25.120,0","25.460,0","26.200,0","24.900,0","3,31M","0,40%"
"Jun 2019","25.020,0","24.880,0","26.300,0","23.820,0","4,93M","0,56%"
"May 2019","24.880,0","26.760,0","26.900,0","24.800,0","2,43M","-7,16%"
"Abr 2019","26.800,0","26.000,0","26.940,0","25.440,0","2,45M","3,96%"
"Mar 2019","25.780,0","26.040,0","27.180,0","25.300,0","6,25M","-1,23%"
"Feb 2019","26.100,0","26.600,0","27.000,0","26.000,0","2,87M","-1,66%"
"Ene 2019","26.540,0","23.060,0","26.700,0","23.020,0","3,64M","12,94%"
"Dic 2018","23.500,0","23.680,0","24.860,0","22.600,0","1,33M","-3,29%"
"Nov 2018","24.300,0","22.300,0","24.380,0","22.140,0","2,23M","8,97%"
"Oct 2018","22.300,0","25.300,0","25.300,0","22.300,0","2,01M","-7,85%"
"Sep 2018","24.200,0","26.660,0","26.680,0","23.800,0","2,19M","-9,30%"
"Ago 2018","26.680,0","26.800,0","27.100,0","26.040,0","1,61M","-0,97%"
"Jul 2018","26.940,0","26.520,0","27.300,0","26.200,0","3,21M","-0,22%"
