"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"May 2021","76.490,00","73.000,00","82.100,00","72.000,00","1,49K","5,96%"
"Abr 2021","72.190,00","65.000,00","73.500,00","64.890,00","248,35K","11,06%"
"Mar 2021","65.000,00","63.800,00","65.900,00","63.100,00","70,07K","1,88%"
"Feb 2021","63.800,00","65.100,00","65.600,00","63.800,00","17,28K","-1,85%"
"Ene 2021","65.000,00","67.000,00","67.040,00","65.000,00","56,78K","-2,99%"
"Dic 2020","67.000,00","64.000,00","70.000,00","64.000,00","158,22K","7,17%"
"Nov 2020","62.520,00","61.000,00","64.200,00","61.000,00","97,65K","2,49%"
"Oct 2020","61.000,00","63.100,00","64.000,00","60.000,00","31,80K","-3,17%"
"Sep 2020","63.000,00","65.000,00","66.420,00","63.000,00","46,34K","-3,23%"
"Ago 2020","65.100,00","63.560,00","66.460,00","63.000,00","16,05K","-0,58%"
"Jul 2020","65.480,00","63.000,00","67.900,00","60.000,00","33,34K","2,41%"
"Jun 2020","63.940,00","60.020,00","75.000,00","60.020,00","63,22K","12,18%"
"May 2020","57.000,00","56.700,00","57.960,00","53.000,00","17,04K","-1,89%"
"Abr 2020","58.100,00","58.500,00","64.000,00","56.700,00","76,42K","-1,53%"
"Mar 2020","59.000,00","84.000,00","84.000,00","54.500,00","47,35K","-28,05%"
"Feb 2020","82.000,00","79.000,00","88.980,00","79.000,00","108,51K","4,46%"
"Ene 2020","78.500,00","78.000,00","79.500,00","75.020,00","44,34K","1,95%"
"Dic 2019","77.000,00","69.020,00","77.000,00","69.020,00","53,09K","10,00%"
"Nov 2019","70.000,00","72.620,00","72.620,00","67.000,00","121,51K","-2,78%"
"Oct 2019","72.000,00","75.780,00","76.500,00","66.000,00","117,94K","-5,01%"
"Sep 2019","75.800,00","62.500,00","75.800,00","62.500,00","121,01K","22,26%"
"Ago 2019","62.000,00","63.100,00","64.200,00","60.800,00","44,41K","-1,62%"
"Jul 2019","63.020,00","52.980,00","65.020,00","52.980,00","140,67K","18,95%"
"Jun 2019","52.980,00","51.980,00","53.000,00","51.560,00","82,77K","2,08%"
"May 2019","51.900,00","51.800,00","52.000,00","51.000,00","108,04K","-0,19%"
"Abr 2019","52.000,00","51.100,00","52.000,00","51.100,00","173,45K","1,21%"
"Mar 2019","51.380,00","51.500,00","51.500,00","51.020,00","45,88K","-0,23%"
"Feb 2019","51.500,00","51.500,00","52.000,00","51.500,00","27,33K","-0,96%"
"Ene 2019","52.000,00","52.400,00","52.500,00","52.000,00","35,51K","1,96%"
"Dic 2018","51.000,00","52.280,00","52.280,00","51.000,00","18,59K","-2,45%"
"Nov 2018","52.280,00","52.300,00","52.300,00","52.000,00","24,62K","-0,42%"
"Oct 2018","52.500,00","52.500,00","52.880,00","52.500,00","26,10K","0,00%"
