"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"May 2021","20.020,0","19.300,0","21.280,0","18.700,0","103,06K","4,49%"
"Abr 2021","19.160,0","21.880,0","21.980,0","19.160,0","4,56M","-11,71%"
"Mar 2021","21.700,0","23.400,0","23.660,0","21.310,0","5,79M","-8,32%"
"Feb 2021","23.670,0","23.480,0","23.800,0","21.800,0","5,45M","4,27%"
"Ene 2021","22.700,0","25.050,0","25.350,0","22.700,0","5,75M","-10,21%"
"Dic 2020","25.280,0","22.000,0","26.470,0","21.550,0","9,05M","18,13%"
"Nov 2020","21.400,0","20.400,0","22.600,0","19.900,0","4,58M","6,47%"
"Oct 2020","20.100,0","21.000,0","21.420,0","19.500,0","2,91M","-2,52%"
"Sep 2020","20.620,0","21.400,0","23.980,0","20.400,0","6,23M","-1,81%"
"Ago 2020","21.000,0","19.760,0","22.240,0","18.780,0","4,52M","8,25%"
"Jul 2020","19.400,0","18.900,0","20.840,0","18.440,0","4,68M","4,08%"
"Jun 2020","18.640,0","18.500,0","22.000,0","18.360,0","7,09M","2,42%"
"May 2020","18.200,0","21.500,0","21.520,0","17.600,0","5,10M","-15,43%"
"Abr 2020","21.520,0","20.000,0","25.200,0","18.500,0","5,20M","7,49%"
"Mar 2020","20.020,0","30.680,0","31.800,0","14.900,0","6,25M","-34,36%"
"Feb 2020","30.500,0","32.000,0","33.720,0","28.920,0","4,95M","-4,69%"
"Ene 2020","32.000,0","34.180,0","34.340,0","32.000,0","2,68M","-5,88%"
"Dic 2019","34.000,0","32.600,0","34.000,0","31.900,0","5,06M","4,94%"
"Nov 2019","32.400,0","33.840,0","34.800,0","32.000,0","6,03M","-5,26%"
"Oct 2019","34.200,0","33.000,0","34.280,0","32.400,0","5,92M","3,64%"
"Sep 2019","33.000,0","33.180,0","34.240,0","32.540,0","7,20M","-1,49%"
"Ago 2019","33.500,0","33.680,0","34.380,0","31.020,0","4,99M","-2,90%"
"Jul 2019","34.500,0","33.800,0","35.680,0","33.200,0","4,12M","1,17%"
"Jun 2019","34.100,0","33.360,0","34.920,0","32.700,0","3,80M","2,53%"
"May 2019","33.260,0","35.960,0","36.200,0","32.480,0","5,46M","-7,61%"
"Abr 2019","36.000,0","36.640,0","36.780,0","34.400,0","3,99M","-1,75%"
"Mar 2019","36.640,0","34.800,0","37.500,0","34.180,0","8,36M","4,69%"
"Feb 2019","35.000,0","34.500,0","36.300,0","34.320,0","4,96M","1,51%"
"Ene 2019","34.480,0","31.920,0","34.800,0","31.840,0","10,49M","7,35%"
"Dic 2018","32.120,0","32.500,0","33.400,0","31.600,0","6,60M","-0,56%"
"Nov 2018","32.300,0","32.200,0","33.600,0","30.800,0","6,98M","2,87%"
"Oct 2018","31.400,0","34.340,0","34.860,0","31.180,0","22,37M","-9,67%"
"Sep 2018","34.760,0","36.100,0","36.100,0","33.000,0","4,39M","-3,44%"
"Ago 2018","36.000,0","36.320,0","37.200,0","35.800,0","5,37M","-0,28%"
"Jul 2018","36.100,0","37.720,0","37.980,0","35.380,0","6,82M","-3,99%"
"Jun 2018","37.600,0","37.160,0","37.960,0","36.000,0","4,87M","1,29%"
"May 2018","37.120,0","38.880,0","38.880,0","36.500,0","7,71M","-4,77%"
"Abr 2018","38.980,0","37.280,0","38.980,0","36.980,0","11,73M","4,56%"
"Mar 2018","37.280,0","38.440,0","39.400,0","36.500,0","2,58M","-2,97%"
"Feb 2018","38.420,0","40.700,0","40.960,0","38.100,0","4,10M","-4,24%"
"Ene 2018","40.120,0","40.280,0","41.600,0","38.640,0","2,74M","-0,45%"
"Dic 2017","40.300,0","39.360,0","40.680,0","38.560,0","3,12M","3,33%"
"Nov 2017","39.000,0","39.300,0","39.500,0","37.180,0","3,00M","0,98%"
"Oct 2017","38.620,0","40.880,0","42.000,0","38.620,0","4,03M","-5,53%"
"Sep 2017","40.880,0","41.260,0","41.840,0","40.720,0","2,05M","-1,49%"
"Ago 2017","41.500,0","41.980,0","42.200,0","38.920,0","1,93M","-1,24%"
"Jul 2017","42.020,0","39.620,0","42.120,0","39.320,0","2,71M","6,11%"
"Jun 2017","39.600,0","38.720,0","39.620,0","38.500,0","8,11M","2,59%"
"May 2017","38.600,0","38.880,0","40.460,0","38.420,0","5,67M","-0,77%"
"Abr 2017","38.900,0","39.060,0","39.500,0","38.440,0","4,20M","-0,46%"
"Mar 2017","39.080,0","36.500,0","39.300,0","36.500,0","8,29M","6,83%"
"Feb 2017","36.580,0","39.000,0","39.700,0","36.420,0","2,69M","-6,21%"
"Ene 2017","39.000,0","38.000,0","39.300,0","37.620,0","2,53M","2,09%"
"Dic 2016","38.200,0","35.500,0","38.580,0","35.500,0","4,28M","7,61%"
"Nov 2016","35.500,0","38.760,0","38.780,0","35.000,0","5,13M","-8,46%"
"Oct 2016","38.780,0","37.000,0","38.900,0","37.000,0","1,84M","3,08%"
"Sep 2016","37.620,0","38.980,0","39.940,0","37.620,0","4,17M","-2,64%"
"Ago 2016","38.640,0","38.220,0","39.420,0","37.960,0","4,07M","0,84%"
"Jul 2016","38.320,0","38.380,0","39.980,0","37.460,0","3,62M","0,05%"
"Jun 2016","38.300,0","37.000,0","39.180,0","36.980,0","3,39M","2,96%"
"May 2016","37.200,0","38.800,0","39.720,0","36.800,0","9,84M","-3,38%"
"Abr 2016","38.500,0","38.200,0","40.180,0","38.200,0","4,40M","-3,51%"
"Mar 2016","39.900,0","38.060,0","39.960,0","36.480,0","5,81M","5,56%"
"Feb 2016","37.800,0","35.480,0","38.000,0","34.580,0","6,83M","5,59%"
"Ene 2016","35.800,0","34.780,0","35.800,0","30.280,0","4,08M","0,28%"
"Dic 2015","35.700,0","32.400,0","36.200,0","29.500,0","6,02M","10,32%"
"Nov 2015","32.360,0","36.780,0","37.140,0","31.540,0","9,93M","-12,02%"
"Oct 2015","36.780,0","35.960,0","37.440,0","35.520,0","3,48M","2,51%"
"Sep 2015","35.880,0","34.020,0","36.000,0","33.200,0","5,04M","1,64%"
"Ago 2015","35.300,0","36.460,0","36.860,0","31.760,0","3,53M","-4,59%"
"Jul 2015","37.000,0","37.000,0","37.420,0","35.520,0","11,05M","-0,05%"
"Jun 2015","37.020,0","33.540,0","37.100,0","33.540,0","4,46M","9,46%"
"May 2015","33.820,0","38.980,0","38.980,0","33.200,0","2,69M","-13,59%"
"Abr 2015","39.140,0","33.560,0","39.140,0","33.560,0","11,78M","16,63%"
"Mar 2015","33.560,0","34.620,0","34.700,0","31.620,0","9,34M","-4,22%"
"Feb 2015","35.040,0","35.660,0","36.000,0","33.840,0","3,09M","-1,02%"
"Ene 2015","35.400,0","39.980,0","39.980,0","34.200,0","5,27M","-11,50%"
"Dic 2014","40.000,0","40.520,0","41.520,0","35.000,0","4,40M","-1,43%"
"Nov 2014","40.580,0","42.760,0","42.800,0","39.600,0","3,12M","-5,14%"
"Oct 2014","42.780,0","40.520,0","42.900,0","38.780,0","6,32M","5,27%"
"Sep 2014","40.640,0","44.000,0","44.800,0","40.360,0","3,04M","-7,85%"
"Ago 2014","44.100,0","41.800,0","44.100,0","40.800,0","6,33M","5,50%"
"Jul 2014","41.800,0","39.720,0","41.800,0","38.920,0","14,76M","4,76%"
"Jun 2014","39.900,0","38.300,0","40.000,0","38.300,0","3,97M","4,18%"
"May 2014","38.300,0","37.700,0","38.980,0","37.400,0","4,69M","1,38%"
"Abr 2014","37.780,0","36.200,0","37.780,0","35.400,0","8,23M","3,51%"
"Mar 2014","36.500,0","32.980,0","36.800,0","32.900,0","4,12M","10,01%"
"Feb 2014","33.180,0","30.460,0","33.180,0","29.600,0","5,55M","8,08%"
"Ene 2014","30.700,0","33.700,0","34.380,0","29.800,0","3,71M","-8,90%"
"Dic 2013","33.700,0","34.800,0","35.500,0","32.960,0","4,07M","-3,16%"
"Nov 2013","34.800,0","37.500,0","37.700,0","34.300,0","4,97M","-7,20%"
"Oct 2013","37.500,0","38.220,0","38.500,0","36.800,0","2,78M","-1,63%"
"Sep 2013","38.120,0","37.400,0","38.500,0","36.320,0","3,38M","-0,42%"
"Ago 2013","38.280,0","36.640,0","38.300,0","36.640,0","2,66M","2,41%"
"Jul 2013","37.380,0","37.160,0","37.380,0","34.000,0","3,61M","-0,05%"
"Jun 2013","37.400,0","38.800,0","38.900,0","35.000,0","3,41M","-3,61%"
"May 2013","38.800,0","38.200,0","39.180,0","37.320,0","3,22M","0,78%"
"Abr 2013","38.500,0","39.000,0","39.000,0","37.260,0","2,93M","-1,28%"
"Mar 2013","39.000,0","38.660,0","39.000,0","37.100,0","2,46M","0,88%"
"Feb 2013","38.660,0","37.680,0","38.760,0","36.500,0","5,34M","2,55%"
"Ene 2013","37.700,0","37.900,0","37.900,0","36.400,0","4,92M","-0,79%"
"Dic 2012","38.000,0","35.240,0","38.000,0","35.220,0","4,68M","7,89%"
"Nov 2012","35.220,0","35.640,0","35.640,0","32.700,0","4,50M","-1,51%"
"Oct 2012","35.760,0","30.440,0","36.060,0","30.440,0","13,68M","17,48%"
"Sep 2012","30.440,0","29.640,0","31.500,0","29.640,0","6,05M","0,40%"
"Ago 2012","30.320,0","30.700,0","30.800,0","28.800,0","4,01M","-1,24%"
