"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"May 2021","7.350,00","7.460,00","7.940,00","7.000,00","25,69K","-2,84%"
"Abr 2021","7.565,00","7.760,00","7.940,00","7.535,00","179,24K","-2,39%"
"Mar 2021","7.750,00","7.800,00","8.100,00","7.750,00","256,34K","-0,90%"
"Feb 2021","7.820,00","7.820,00","8.210,00","7.780,00","224,90K","0,26%"
"Ene 2021","7.800,00","8.345,00","8.500,00","7.800,00","284,58K","-9,30%"
"Dic 2020","8.600,00","8.500,00","8.800,00","8.060,00","516,06K","1,18%"
"Nov 2020","8.500,00","8.090,00","8.500,00","7.600,00","561,71K","6,32%"
"Oct 2020","7.995,00","8.220,00","8.940,00","7.995,00","3,62M","-1,78%"
"Sep 2020","8.140,00","7.750,00","8.900,00","7.750,00","977,36K","5,30%"
"Ago 2020","7.730,00","7.000,00","7.750,00","6.800,00","366,33K","10,59%"
"Jul 2020","6.990,00","6.540,00","7.240,00","6.350,00","333,75K","6,72%"
"Jun 2020","6.550,00","7.000,00","7.290,00","6.300,00","763,56K","-2,24%"
"May 2020","6.700,00","7.500,00","7.500,00","6.660,00","105,59K","-9,46%"
"Abr 2020","7.400,00","8.000,00","8.310,00","7.310,00","245,95K","-7,50%"
"Mar 2020","8.000,00","10.300,00","10.500,00","8.000,00","100,96K","-23,81%"
"Feb 2020","10.500,00","10.300,00","10.880,00","9.720,00","1,03M","1,94%"
"Ene 2020","10.300,00","10.000,00","10.600,00","9.900,00","466,63K","3,00%"
"Dic 2019","10.000,00","10.300,00","10.300,00","9.940,00","92,08K","-2,91%"
"Nov 2019","10.300,00","10.700,00","10.700,00","10.300,00","100,62K","-3,74%"
"Oct 2019","10.700,00","10.520,00","10.700,00","10.200,00","32,16K","0,00%"
"Sep 2019","10.700,00","10.900,00","10.920,00","10.700,00","70,34K","-2,73%"
"Ago 2019","11.000,00","11.000,00","11.100,00","10.980,00","951,27K","-2,65%"
"Jul 2019","11.300,00","10.760,00","11.300,00","10.600,00","257,74K","3,67%"
"Jun 2019","10.900,00","10.700,00","10.900,00","10.700,00","122,70K","1,87%"
"May 2019","10.700,00","10.660,00","10.880,00","10.140,00","994,53K","0,19%"
"Abr 2019","10.680,00","10.000,00","10.700,00","10.000,00","240,32K","2,69%"
"Mar 2019","10.400,00","9.340,00","10.500,00","9.340,00","928,15K","8,79%"
"Feb 2019","9.560,00","9.400,00","9.650,00","9.400,00","724,87K","0,63%"
"Ene 2019","9.500,00","9.600,00","9.800,00","9.050,00","431,43K","-1,04%"
"Dic 2018","9.600,00","9.390,00","9.610,00","9.340,00","205,06K","2,78%"
"Nov 2018","9.340,00","9.800,00","10.000,00","9.010,00","28,20K","-4,69%"
"Oct 2018","9.800,00","9.500,00","10.000,00","8.800,00","1,04M","4,26%"
"Sep 2018","9.400,00","9.800,00","9.800,00","9.120,00","553,06K","-2,08%"
"Ago 2018","9.600,00","10.000,00","10.000,00","9.000,00","1,80M","-4,95%"
"Jul 2018","10.100,00","11.020,00","11.980,00","10.040,00","144,28K","-15,83%"
"Jun 2018","12.000,00","12.500,00","12.500,00","11.300,00","111,36K","-3,85%"
"May 2018","12.480,00","12.360,00","12.500,00","11.740,00","383,74K","0,00%"
"Abr 2018","12.480,00","12.400,00","12.900,00","11.740,00","1,45M","-3,26%"
"Mar 2018","12.900,00","13.180,00","13.260,00","12.300,00","252,66K","-3,01%"
"Feb 2018","13.300,00","13.540,00","13.960,00","12.820,00","266,30K","-5,67%"
"Ene 2018","14.100,00","12.860,00","14.180,00","12.860,00","89,67K","-0,70%"
"Dic 2017","14.200,00","12.820,00","14.300,00","12.820,00","87,97K","2,90%"
"Nov 2017","13.800,00","13.500,00","13.800,00","12.520,00","179,43K","0,00%"
"Oct 2017","13.800,00","12.800,00","13.800,00","12.420,00","161,51K","1,47%"
"Sep 2017","13.600,00","11.960,00","13.600,00","11.960,00","93,81K","4,62%"
"Ago 2017","13.000,00","12.000,00","13.000,00","12.000,00","183,76K","5,69%"
"Jul 2017","12.300,00","12.300,00","12.600,00","12.000,00","315,81K","2,50%"
"Jun 2017","12.000,00","12.540,00","12.540,00","12.000,00","98,46K","-4,46%"
"May 2017","12.560,00","12.140,00","12.600,00","11.800,00","1,86M","3,80%"
