"Date","Price","Open","High","Low","Vol.","Change %"
"May 21","2,190.0","2,288.0","2,418.0","2,190.0","3.70M","-0.90%"
"Apr 21","2,210.0","2,333.0","2,374.0","2,210.0","167.81M","-6.59%"
"Mar 21","2,366.0","2,265.0","2,480.0","2,240.0","235.20M","5.16%"
"Feb 21","2,250.0","2,068.0","2,349.0","2,028.0","212.26M","10.84%"
"Jan 21","2,030.0","2,245.0","2,491.0","2,030.0","248.14M","-9.58%"
"Dec 20","2,245.0","2,106.0","2,380.0","2,102.0","225.78M","7.88%"
"Nov 20","2,081.0","1,795.0","2,260.0","1,795.0","239.84M","16.19%"
"Oct 20","1,791.0","1,880.0","1,972.0","1,615.0","174.91M","-5.49%"
"Sep 20","1,895.0","2,155.0","2,210.0","1,880.0","252.76M","-13.47%"
"Aug 20","2,190.0","2,150.0","2,270.0","2,100.0","152.07M","5.29%"
"Jul 20","2,080.0","2,105.0","2,265.0","2,020.0","155.87M","0.24%"
"Jun 20","2,075.0","1,945.0","2,430.0","1,945.0","193.65M","4.27%"
"May 20","1,990.0","2,000.0","2,085.0","1,855.0","166.99M","-4.78%"
"Apr 20","2,090.0","1,900.0","2,400.0","1,750.0","231.48M","10.00%"
"Mar 20","1,900.0","3,140.0","3,195.0","1,300.0","269.62M","-38.81%"
"Feb 20","3,105.0","3,160.0","3,495.0","3,000.0","184.15M","-2.36%"
"Jan 20","3,180.0","3,315.0","3,435.0","3,140.0","161.13M","-4.07%"
"Dec 19","3,315.0","3,250.0","3,370.0","3,175.0","99.96M","0.76%"
"Nov 19","3,290.0","3,055.0","3,290.0","3,035.0","125.17M","8.22%"
"Oct 19","3,040.0","2,985.0","3,090.0","2,870.0","122.78M","3.05%"
"Sep 19","2,950.0","2,715.0","3,050.0","2,655.0","200.62M","7.66%"
"Aug 19","2,740.0","2,970.0","2,985.0","2,615.0","184.22M","-6.80%"
"Jul 19","2,940.0","2,920.0","3,110.0","2,895.0","167.57M","0.68%"
"Jun 19","2,920.0","2,785.0","3,030.0","2,725.0","133.09M","5.61%"
"May 19","2,765.0","2,975.0","3,120.0","2,740.0","200.10M","-7.37%"
"Apr 19","2,985.0","3,460.0","3,465.0","2,965.0","173.88M","-12.59%"
"Mar 19","3,415.0","3,100.0","3,570.0","3,080.0","181.83M","9.46%"
"Feb 19","3,120.0","2,920.0","3,280.0","2,825.0","188.94M","6.85%"
"Jan 19","2,920.0","2,620.0","2,970.0","2,540.0","175.55M","10.40%"
"Dec 18","2,645.0","3,160.0","3,300.0","2,520.0","133.53M","-14.81%"
"Nov 18","3,105.0","3,700.0","3,740.0","2,990.0","218.81M","-16.98%"
"Oct 18","3,740.0","4,040.0","4,190.0","3,635.0","272.90M","-7.20%"
"Sep 18","4,030.0","3,400.0","4,030.0","3,350.0","287.92M","17.84%"
"Aug 18","3,420.0","3,055.0","3,455.0","2,985.0","193.34M","11.40%"
"Jul 18","3,070.0","3,025.0","3,095.0","2,850.0","161.86M","1.49%"
"Jun 18","3,025.0","3,080.0","3,125.0","2,800.0","211.31M","-2.10%"
"May 18","3,090.0","3,060.0","3,315.0","2,855.0","354.93M","-0.32%"
"Apr 18","3,100.0","2,645.0","3,145.0","2,645.0","387.33M","18.55%"
"Mar 18","2,615.0","2,500.0","2,810.0","2,415.0","315.66M","4.18%"
"Feb 18","2,510.0","2,655.0","2,770.0","2,315.0","434.33M","-5.64%"
"Jan 18","2,660.0","2,200.0","2,860.0","2,175.0","472.22M","20.36%"
"Dec 17","2,210.0","1,755.0","2,210.0","1,755.0","191.93M","26.29%"
"Nov 17","1,750.0","1,690.0","1,850.0","1,675.0","312.53M","5.11%"
"Oct 17","1,665.0","1,395.0","1,690.0","1,380.0","333.29M","18.93%"
"Sep 17","1,400.0","1,360.0","1,420.0","1,345.0","208.64M","2.19%"
"Aug 17","1,370.0","1,385.0","1,400.0","1,340.0","173.48M","-1.79%"
"Jul 17","1,395.0","1,390.0","1,405.0","1,345.0","144.55M","1.09%"
"Jun 17","1,380.0","1,335.0","1,400.0","1,320.0","229.34M","3.37%"
"May 17","1,335.0","1,350.0","1,485.0","1,310.0","395.79M","-1.84%"
"Apr 17","1,360.0","1,345.0","1,400.0","1,330.0","244.46M","0.74%"
"Mar 17","1,350.0","1,325.0","1,350.0","1,275.0","204.22M","2.27%"
"Feb 17","1,320.0","1,375.0","1,395.0","1,305.0","238.15M","-4.00%"
"Jan 17","1,375.0","1,370.0","1,425.0","1,360.0","187.92M","-0.36%"
"Dec 16","1,380.0","1,330.0","1,400.0","1,300.0","172.59M","4.55%"
"Nov 16","1,320.0","1,325.0","1,335.0","1,230.0","203.59M","0.76%"
"Oct 16","1,310.0","1,250.0","1,385.0","1,200.0","209.44M","4.80%"
"Sep 16","1,250.0","1,310.0","1,400.0","1,160.0","288.05M","-5.30%"
"Aug 16","1,320.0","1,280.0","1,340.0","1,200.0","199.27M","1.54%"
"Jul 16","1,300.0","1,385.0","1,415.0","1,285.0","168.13M","-6.81%"
"Jun 16","1,395.0","1,335.0","1,465.0","1,320.0","219.49M","4.10%"
"May 16","1,340.0","1,410.0","1,470.0","1,330.0","268.96M","-5.30%"
"Apr 16","1,415.0","1,280.0","1,485.0","1,220.0","396.12M","8.02%"
"Mar 16","1,310.0","1,155.0","1,435.0","1,145.0","434.08M","14.91%"
"Feb 16","1,140.0","1,000.0","1,195.0","975.0","431.02M","10.68%"
"Jan 16","1,030.0","1,120.0","1,140.0","880.0","213.16M","-7.21%"
"Dec 15","1,110.0","1,310.0","1,320.0","1,080.0","129.64M","-14.94%"
"Nov 15","1,305.0","1,385.0","1,425.0","1,290.0","199.02M","-3.33%"
"Oct 15","1,350.0","1,335.0","1,535.0","1,305.0","199.68M","1.50%"
"Sep 15","1,330.0","1,550.0","1,565.0","1,285.0","180.13M","-16.61%"
"Aug 15","1,595.0","1,605.0","1,605.0","1,395.0","202.05M","-0.93%"
"Jul 15","1,610.0","1,715.0","1,725.0","1,545.0","217.22M","-6.94%"
"Jun 15","1,730.0","1,825.0","1,870.0","1,625.0","202.89M","-4.68%"
"May 15","1,815.0","2,030.0","2,105.0","1,800.0","185.76M","-10.59%"
"Apr 15","2,030.0","1,980.0","2,110.0","1,975.0","194.65M","2.78%"
"Mar 15","1,975.0","2,095.0","2,095.0","1,750.0","248.39M","-5.28%"
"Feb 15","2,085.0","1,960.0","2,335.0","1,960.0","267.48M","6.65%"
"Jan 15","1,955.0","2,060.0","2,075.0","1,795.0","206.34M","-6.01%"
"Dec 14","2,080.0","2,280.0","2,310.0","1,750.0","201.01M","-9.17%"
"Nov 14","2,290.0","2,730.0","2,760.0","2,230.0","196.41M","-16.73%"
"Oct 14","2,750.0","3,155.0","3,175.0","2,730.0","192.93M","-13.11%"
"Sep 14","3,165.0","3,320.0","3,420.0","3,165.0","127.84M","-4.81%"
"Aug 14","3,325.0","3,165.0","3,335.0","3,090.0","166.91M","4.56%"
"Jul 14","3,180.0","3,410.0","3,410.0","3,100.0","182.84M","-6.74%"
"Jun 14","3,410.0","3,475.0","3,670.0","3,360.0","134.59M","-0.58%"
"May 14","3,430.0","3,550.0","3,655.0","3,415.0","130.64M","-4.85%"
"Apr 14","3,605.0","4,025.0","4,060.0","3,445.0","186.96M","-10.55%"
"Mar 14","4,030.0","3,495.0","4,030.0","3,430.0","137.46M","15.14%"
"Feb 14","3,500.0","3,520.0","3,770.0","3,395.0","165.91M","-0.57%"
"Jan 14","3,520.0","3,700.0","3,715.0","3,330.0","174.52M","-4.86%"
"Dec 13","3,700.0","3,955.0","4,190.0","3,660.0","159.22M","-5.97%"
"Nov 13","3,935.0","4,500.0","4,510.0","3,880.0","106.53M","-12.56%"
"Oct 13","4,500.0","4,360.0","4,610.0","4,315.0","112.91M","2.74%"
"Sep 13","4,380.0","4,330.0","4,525.0","4,330.0","103.54M","1.04%"
"Aug 13","4,335.0","4,300.0","4,500.0","4,200.0","133.06M","0.00%"
"Jul 13","4,335.0","4,100.0","4,410.0","3,875.0","142.83M","6.25%"
"Jun 13","4,080.0","4,100.0","4,180.0","3,845.0","132.97M","0.00%"
"May 13","4,080.0","4,330.0","4,380.0","3,905.0","177.54M","-7.06%"
"Apr 13","4,390.0","5,030.0","5,050.0","4,225.0","241.64M","-13.07%"
"Mar 13","5,050.0","5,200.0","5,220.0","4,895.0","131.22M","-3.07%"
"Feb 13","5,210.0","5,650.0","5,740.0","5,120.0","164.88M","-7.79%"
"Jan 13","5,650.0","5,460.0","5,650.0","5,330.0","106.18M","3.48%"
"Dec 12","5,460.0","5,300.0","5,500.0","5,200.0","93.81M","3.21%"
"Nov 12","5,290.0","5,450.0","5,450.0","5,110.0","102.54M","-2.94%"
"Oct 12","5,450.0","5,290.0","5,790.0","5,250.0","145.18M","2.83%"
"Sep 12","5,300.0","5,250.0","5,370.0","5,130.0","105.86M","0.57%"
"Aug 12","5,270.0","5,160.0","5,480.0","5,060.0","120.70M","2.33%"
"Jul 12","5,150.0","5,000.0","5,220.0","4,870.0","161.46M","3.31%"
"Jun 12","4,985.0","5,420.0","5,470.0","4,760.0","155.35M","-8.53%"
"May 12","5,450.0","5,750.0","5,930.0","5,210.0","232.27M","-4.39%"
"Apr 12","5,700.0","5,420.0","5,800.0","5,220.0","196.59M","4.97%"
"Mar 12","5,430.0","5,170.0","5,540.0","5,100.0","206.10M","4.22%"
"Feb 12","5,210.0","4,620.0","5,210.0","4,565.0","289.24M","13.26%"
"Jan 12","4,600.0","4,200.0","4,645.0","4,170.0","246.46M","9.13%"
"Dec 11","4,215.0","4,085.0","4,305.0","4,000.0","171.65M","2.80%"
"Nov 11","4,100.0","3,990.0","4,100.0","3,850.0","135.01M","2.50%"
"Oct 11","4,000.0","3,870.0","4,085.0","3,700.0","154.96M","3.63%"
"Sep 11","3,860.0","3,875.0","4,175.0","3,760.0","147.54M","0.13%"
"Aug 11","3,855.0","3,735.0","3,900.0","3,580.0","223.64M","3.21%"
"Jul 11","3,735.0","3,840.0","3,895.0","3,550.0","135.05M","-2.73%"
"Jun 11","3,840.0","4,060.0","4,080.0","3,740.0","139.34M","-5.07%"
"May 11","4,045.0","3,840.0","4,055.0","3,710.0","137.38M","6.45%"
"Apr 11","3,800.0","3,900.0","3,920.0","3,585.0","75.12M","-2.19%"
"Mar 11","3,885.0","3,985.0","4,110.0","3,735.0","143.22M","-2.02%"
"Feb 11","3,965.0","3,990.0","4,045.0","3,735.0","123.55M","-0.13%"
"Jan 11","3,970.0","4,100.0","4,100.0","3,800.0","96.77M","-3.17%"
"Dec 10","4,100.0","3,900.0","4,200.0","3,840.0","210.40M","6.77%"
"Nov 10","3,840.0","4,450.0","4,745.0","3,725.0","274.66M","-12.93%"
"Oct 10","4,410.0","3,730.0","4,420.0","3,690.0","244.13M","19.19%"
"Sep 10","3,700.0","3,500.0","3,835.0","3,485.0","235.58M","6.17%"
"Aug 10","3,485.0","3,135.0","3,490.0","3,120.0","183.46M","12.24%"
"Jul 10","3,105.0","2,755.0","3,170.0","2,720.0","206.23M","12.70%"
"Jun 10","2,755.0","2,690.0","2,785.0","2,660.0","68.68M","2.04%"
"May 10","2,700.0","2,770.0","2,795.0","2,580.0","165.80M","-2.35%"
"Apr 10","2,765.0","2,700.0","2,790.0","2,670.0","156.08M","2.41%"
"Mar 10","2,700.0","2,570.0","2,720.0","2,545.0","149.60M","5.47%"
"Feb 10","2,560.0","2,450.0","2,600.0","2,400.0","143.58M","4.28%"
"Jan 10","2,455.0","2,505.0","2,515.0","2,360.0","121.52M","-1.21%"
"Dec 09","2,485.0","2,525.0","2,615.0","2,420.0","164.83M","-0.80%"
"Nov 09","2,505.0","2,550.0","2,710.0","2,480.0","148.96M","-1.76%"
"Oct 09","2,550.0","2,705.0","2,720.0","2,550.0","149.09M","-5.73%"
"Sep 09","2,705.0","2,685.0","2,735.0","2,570.0","204.83M","0.93%"
"Aug 09","2,680.0","2,790.0","2,840.0","2,670.0","189.88M","-3.42%"
"Jul 09","2,775.0","2,585.0","2,820.0","2,460.0","366.56M","7.56%"
"Jun 09","2,580.0","2,395.0","2,585.0","2,375.0","285.14M","8.18%"
"May 09","2,385.0","2,140.0","2,410.0","2,130.0","227.55M","12.50%"
"Apr 09","2,120.0","2,135.0","2,195.0","2,085.0","131.61M","-0.93%"
"Mar 09","2,140.0","2,120.0","2,160.0","2,040.0","211.58M","1.66%"
"Feb 09","2,105.0","2,030.0","2,175.0","2,000.0","237.61M","3.19%"
"Jan 09","2,040.0","2,005.0","2,095.0","1,960.0","179.27M","1.75%"
"Dec 08","2,005.0","1,990.0","2,150.0","1,940.0","333.81M","-0.25%"
"Nov 08","2,010.0","1,995.0","2,085.0","1,810.0","333.37M","1.52%"
"Oct 08","1,980.0","2,560.0","2,605.0","1,760.0","613.16M","-22.81%"
"Sep 08","2,565.0","2,715.0","2,895.0","2,450.0","550.24M","-1.91%"
"Aug 08","2,615.0","2,580.0","2,615.0","2,335.0","333.43M","2.15%"
"Jul 08","2,560.0","2,630.0","2,730.0","2,435.0","359.08M","-2.10%"
"Jun 08","2,615.0","2,785.0","2,860.0","2,555.0","331.02M","-6.94%"
"May 08","2,810.0","2,600.0","2,980.0","2,600.0","663.23M","8.08%"
"Apr 08","2,600.0","2,090.0","2,690.0","2,000.0","525.22M","24.40%"
"Mar 08","2,090.0","1,990.0","2,150.0","1,910.0","356.05M","3.98%"
"Feb 08","2,010.0","1,780.0","2,010.0","1,680.0","411.07M","13.88%"
"Jan 08","1,765.0","2,015.0","2,035.0","1,500.0","404.07M","-12.62%"
