"Date","Price","Open","High","Low","Vol.","Change %"
"May 21","20,020.0","21,000.0","22,340.0","19,500.0","205.83K","-6.36%"
"Apr 21","21,380.0","23,200.0","23,340.0","21,060.0","6.38M","-4.98%"
"Mar 21","22,500.0","22,690.0","24,220.0","21,680.0","7.70M","-5.46%"
"Feb 21","23,800.0","23,080.0","24,460.0","22,600.0","6.40M","3.21%"
"Jan 21","23,060.0","25,950.0","29,250.0","23,020.0","8.37M","-10.27%"
"Dec 20","25,700.0","22,700.0","25,870.0","22,500.0","7.20M","13.22%"
"Nov 20","22,700.0","20,860.0","23,300.0","20,600.0","4.98M","8.82%"
"Oct 20","20,860.0","20,020.0","21,790.0","19,900.0","4.53M","2.36%"
"Sep 20","20,380.0","21,500.0","22,480.0","19,920.0","8.66M","-2.67%"
"Aug 20","20,940.0","19,320.0","22,400.0","18,900.0","5.22M","9.06%"
"Jul 20","19,200.0","18,800.0","20,100.0","18,460.0","10.46M","2.13%"
"Jun 20","18,800.0","19,460.0","19,680.0","18,200.0","8.61M","-4.08%"
"May 20","19,600.0","17,900.0","19,620.0","17,600.0","7.56M","7.69%"
"Apr 20","18,200.0","15,400.0","18,960.0","14,500.0","7.58M","17.57%"
"Mar 20","15,480.0","18,600.0","18,960.0","11,000.0","16.40M","-16.77%"
"Feb 20","18,600.0","19,300.0","19,500.0","18,220.0","8.83M","-1.06%"
"Jan 20","18,800.0","19,600.0","20,480.0","18,800.0","5.64M","-4.08%"
"Dec 19","19,600.0","18,960.0","19,900.0","18,000.0","5.97M","3.27%"
"Nov 19","18,980.0","19,360.0","20,580.0","17,900.0","6.66M","-2.67%"
"Oct 19","19,500.0","18,300.0","20,880.0","18,020.0","6.43M","6.91%"
"Sep 19","18,240.0","18,180.0","20,100.0","18,180.0","7.92M","0.33%"
"Aug 19","18,180.0","17,720.0","18,280.0","16,020.0","9.60M","2.13%"
"Jul 19","17,800.0","17,620.0","20,500.0","17,620.0","10.61M","-0.34%"
"Jun 19","17,860.0","16,200.0","19,700.0","16,200.0","12.68M","10.25%"
"May 19","16,200.0","15,980.0","16,200.0","15,420.0","21.53M","2.40%"
"Apr 19","15,820.0","16,000.0","16,480.0","15,300.0","6.33M","-0.88%"
"Mar 19","15,960.0","13,980.0","17,460.0","13,960.0","11.37M","14.16%"
"Feb 19","13,980.0","13,940.0","14,140.0","13,800.0","9.32M","0.43%"
"Jan 19","13,920.0","13,800.0","14,660.0","13,740.0","10.40M","-0.43%"
"Dec 18","13,980.0","13,200.0","14,300.0","12,680.0","6.59M","8.04%"
"Nov 18","12,940.0","12,000.0","13,680.0","12,000.0","5.23M","8.19%"
"Oct 18","11,960.0","13,380.0","13,900.0","11,600.0","4.79M","-10.61%"
"Sep 18","13,380.0","13,400.0","13,640.0","12,720.0","6.89M","-1.04%"
"Aug 18","13,520.0","13,980.0","14,040.0","13,400.0","6.78M","-4.79%"
"Jul 18","14,200.0","14,680.0","14,680.0","13,800.0","4.37M","-2.07%"
"Jun 18","14,500.0","14,180.0","14,820.0","13,620.0","11.24M","2.40%"
"May 18","14,160.0","14,480.0","14,500.0","13,600.0","10.17M","-2.21%"
"Apr 18","14,480.0","13,380.0","15,200.0","13,200.0","9.59M","8.71%"
"Mar 18","13,320.0","13,700.0","13,800.0","12,620.0","6.08M","-2.77%"
"Feb 18","13,700.0","14,300.0","14,820.0","13,200.0","7.48M","-4.20%"
"Jan 18","14,300.0","14,040.0","14,700.0","13,960.0","6.10M","0.70%"
"Dec 17","14,200.0","13,660.0","14,400.0","13,600.0","6.39M","2.90%"
"Nov 17","13,800.0","13,600.0","13,920.0","13,120.0","6.60M","3.60%"
"Oct 17","13,320.0","13,660.0","13,960.0","13,140.0","7.26M","-2.63%"
"Sep 17","13,680.0","13,340.0","13,900.0","13,320.0","5.70M","2.40%"
"Aug 17","13,360.0","13,680.0","13,680.0","12,940.0","5.54M","-2.34%"
"Jul 17","13,680.0","13,320.0","13,740.0","13,000.0","6.45M","2.55%"
"Jun 17","13,340.0","14,000.0","14,180.0","13,060.0","9.39M","-5.39%"
"May 17","14,100.0","11,540.0","14,100.0","11,540.0","21.35M","20.93%"
"Apr 17","11,660.0","11,480.0","11,700.0","11,320.0","8.52M","0.52%"
"Mar 17","11,600.0","11,200.0","11,740.0","11,040.0","8.36M","3.57%"
"Feb 17","11,200.0","10,420.0","11,300.0","10,420.0","9.81M","6.06%"
"Jan 17","10,560.0","10,000.0","10,560.0","9,890.0","7.14M","5.81%"
